planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, goal_name
right_arm_RRT, 0.100601878, 1, 0.015371875, 0.008608, 0.0, 6.84549060682, 0, 0.139022544026, 0.076528, 1.83580561166, 8.21193087151, 0, 0.118149548769, 9.4003e-05, 1.18423789293e-16, 6.84549060682, 0, 0.133105934411, tabletop.tabletop_02
right_arm_RRT, 0.172015819, 1, 0.01663905, 0.008585, 0.0, 7.87212644823, 0, 0.139022544026, 0.14669, 2.43002158559, 10.4675941985, 0, 0.139022544026, 0.000101769, 0.0, 7.87212644823, 0, 0.136889736309, tabletop.tabletop_02
right_arm_RRT, 0.37496228, 1, 0.0467877, 0.27004, 0.064866969656, 15.5408048679, 0, 0.0571426678371, 0.058033, 2.80061847857, 20.2654742722, 0, 0.105956783518, 0.00010158, 0.0477994195757, 15.5408048679, 0, 0.0562140657654, tabletop.tabletop_03
right_arm_RRT, 0.409163939, 1, 0.03881368, 0.210137, 0.225494598261, 10.2902491947, 0, 0.0697783201301, 0.160194, 7.70914638019, 23.6566519902, 0, 0.125449399331, 1.9259e-05, 0.225494598261, 10.2902491947, 0, 0.0697783201301, tabletop.tabletop_03
right_arm_RRT, 0.818324375, 1, 0.042502812, 0.13004, 0.220364677569, 16.2609248111, 0, 0.0893115482588, 0.645672, 5.05655978745, 27.4465674452, 0, 0.128594538404, 0.000109563, 0.13094133015, 16.2609248111, 0, 0.101149681119, tabletop.tabletop_03
right_arm_RRT, 0.130303109, 1, 0.017062042, 0.0109, 0.0, 7.72774251057, 0, 0.131850000471, 0.102239, 5.97162507469, 11.833752658, 0, 0.112385073677, 0.000102067, 1.04966540285e-15, 7.72774251057, 0, 0.111821630913, tabletop.tabletop_04
right_arm_RRT, 0.164343061, 1, 0.017476453, 0.006834, 0.0, 7.05327124738, 0, 0.108148336411, 0.139922, 3.00607028738, 10.2863035181, 0, 0.0949486270547, 0.000110608, 4.08562072702e-15, 7.05327124738, 0, 0.0992574463998, tabletop.tabletop_04
right_arm_RRT, 0.069133518, 1, 0.017839325, 0.00767, 0.0, 7.04148420548, 0, 0.0961737949401, 0.043508, 5.53699136995, 11.5873408137, 0, 0.0999812008813, 0.000116193, 9.84197702644e-16, 7.04148420548, 0, 0.0908170874054, tabletop.tabletop_04
right_arm_RRT, 1.181085174, 1, 0.030474067, 0.110443, 0.255119916036, 11.7171142389, 0, 0.122386641726, 1.040075, 9.02594494443, 35.490973201, 0, 0.123578444822, 9.3107e-05, 0.130141199777, 11.7171142389, 0, 0.112027462914, tabletop.tabletop_05
right_arm_RRT, 4.201606094, 1, 0.03916604, 0.201739, 0.124738816696, 10.5901886566, 0, 0.0641416529151, 3.96069, 9.81805879391, 32.7925101765, 0, 0.0853849436072, 1.1054e-05, 0.124738816696, 10.5901886566, 0, 0.0641416529151, tabletop.tabletop_05
right_arm_RRT, 0.371695787, 1, 0.026877343, 0.063605, 0.0981706751045, 8.88619253799, 0, 0.105668163076, 0.281158, 8.40599491792, 17.4987565078, 0, 0.109531484731, 5.5444e-05, 0.0645859704635, 8.88619253799, 0, 0.112552348769, tabletop.tabletop_05
right_arm_RRT, 0.162805406, 1, 0.018840387, 0.006836, 0.0, 7.24410951629, 0, 0.104302275926, 0.13702, 4.7130663875, 15.1970494044, 0, 0.101933730394, 0.000109019, 2.53765262771e-17, 7.24410951629, 0, 0.097950867457, tabletop.tabletop_06
right_arm_RRT, 0.110429249, 1, 0.017699989, 0.006839, 0.0, 7.27444406413, 0, 0.101429600269, 0.08578, 6.81362005362, 17.3128620631, 0, 0.123985366523, 0.00011026, 7.61295788314e-17, 7.27444406413, 0, 0.0960500619241, tabletop.tabletop_06
right_arm_RRT, 0.091995874, 1, 0.016971664, 0.006833, 0.0, 8.08727346978, 0, 0.127181656659, 0.068084, 4.04854127505, 12.2655042748, 0, 0.120765361935, 0.00010721, 2.0114628873e-15, 8.08727346978, 0, 0.10843093759, tabletop.tabletop_06
right_arm_RRT, 2.683914325, 1, 0.033063137, 0.163021, 0.0856506121188, 9.46865759659, 0, 0.0756830447777, 2.487805, 9.34756241628, 29.4042611131, 0, 0.119070423974, 2.5188e-05, 0.0785130611089, 9.46865759659, 0, 0.0805369376515, tabletop.tabletop_07
right_arm_RRT, 2.078687036, 1, 0.026888572, 0.129703, 0.100749402074, 8.24664893953, 0, 0.0785243406263, 1.92204, 11.0212418557, 21.1813233961, 0, 0.125158694174, 5.5464e-05, 0.0661194928479, 8.24664893953, 0, 0.0722827858086, tabletop.tabletop_07
right_arm_RRT, 2.581493316, 1, 0.035043424, 0.119468, 0.330425294027, 12.1558684404, 0, 0.0944511463555, 2.426899, 4.85767258487, 17.5321000211, 0, 0.107228895383, 8.2892e-05, 0.200440952633, 12.1558684404, 0, 0.0925438090509, tabletop.tabletop_07
right_arm_RRT, 0.129133157, 1, 0.025016665, 0.011618, 0.0, 8.22672787141, 0, 0.123374156654, 0.092388, 5.89677015619, 15.8771324089, 0, 0.11335003078, 0.000110492, 8.12048838742e-16, 8.22672787141, 0, 0.108122287904, tabletop.tabletop_08
right_arm_RRT, 0.318013742, 1, 0.018471471, 0.005999, 0.0, 7.63712712577, 0, 0.115929942578, 0.293424, 3.64897169399, 16.9203870072, 0, 0.119549061358, 0.000119271, 7.83686840912e-17, 7.63712712577, 0, 0.103786897791, tabletop.tabletop_08
right_arm_RRT, 0.060364228, 1, 0.016812409, 0.006842, 0.0, 7.81588363624, 0, 0.121411237866, 0.036604, 1.39841192415, 10.5804907167, 0, 0.122801166028, 0.000105819, 9.95836411362e-16, 7.81588363624, 0, 0.10637153369, tabletop.tabletop_08
right_arm_RRT, 3.982539164, 1, 0.036761426, 0.131148, 0.0811252149607, 9.44838210515, 0, 0.0692010626874, 3.814584, 5.92593836313, 22.655569222, 0, 0.134699751106, 4.5738e-05, 0.0622588859, 9.44838210515, 0, 0.0773408625188, tabletop.tabletop_09
right_arm_RRT, 0.458745445, 1, 0.033248625, 0.07872, 0.243921845084, 12.4025990576, 0, 0.0822496487945, 0.346657, 4.88311310772, 18.6845775758, 0, 0.114248793572, 0.00011982, 0.0975407055706, 12.4025990576, 0, 0.0851833155079, tabletop.tabletop_09
right_arm_RRT, 0.852358278, 1, 0.045613402, 0.162616, 0.0401727439764, 9.16626341544, 0, 0.0522033324988, 0.644115, 8.93820989243, 17.5908094092, 0, 0.11246054216, 1.3876e-05, 0.0401727439764, 9.16626341544, 0, 0.0522033324988, tabletop.tabletop_09
right_arm_RRT, 0.274833939, 1, 0.022096098, 0.006865, 0.0, 7.42679507799, 0, 0.0972460191697, 0.245762, 4.73751720229, 18.4518723898, 0, 0.116536896055, 0.000110841, 1.52259157663e-16, 7.42679507799, 0, 0.0933270246855, tabletop.tabletop_10
right_arm_RRT, 0.117939993, 1, 0.018031823, 0.006836, 0.0, 7.45271150364, 0, 0.100623689592, 0.092887, 3.46171515555, 14.6224515363, 0, 0.0870003268123, 0.00018517, 5.07530525543e-17, 7.45271150364, 0, 0.0955702417663, tabletop.tabletop_10
right_arm_RRT, 0.182660738, 1, 0.018024172, 0.006821, 0.0, 7.42949447575, 0, 0.0911638662219, 0.157701, 7.18233618437, 16.0568425712, 0, 0.102861197293, 0.000114566, 9.86864910778e-16, 7.42949447575, 0, 0.0886742714792, tabletop.tabletop_10
right_arm_RRT, 2.910381148, 1, 0.034111083, 0.070187, 0.319152656278, 13.5496615661, 0, 0.12677956, 2.805909, 7.6341941367, 26.0017430728, 0, 0.118862672942, 0.000174065, 0.0954590286567, 13.5496615661, 0, 0.120934312068, tabletop.tabletop_01
right_arm_RRT, 1.515891648, 1, 0.025654591, 0.104958, 0.398890589992, 10.2546994138, 0, 0.120805701789, 1.38519, 7.80997258865, 19.5191501839, 0, 0.110255465976, 8.9057e-05, 0.142522932827, 10.2546994138, 0, 0.114097916832, tabletop.tabletop_01
right_arm_RRT, 0.184755933, 1, 0.032593949, 0.081169, 0.153701967118, 12.4742553154, 0, 0.121445228755, 0.070885, 5.01703326545, 17.5546634657, 0, 0.120699472725, 0.000107984, 0.0698645305083, 12.4742553154, 0, 0.124253698777, tabletop.tabletop_01
right_arm_RRT, 0.076285976, 1, 0.017099494, 0.006812, 0.0, 5.85711826714, 0, 0.122197974473, 0.05227, 7.1027663508, 14.9280749745, 0, 0.111948746443, 0.000104482, 2.50779789268e-15, 5.85711826714, 0, 0.123007150915, tabletop.tabletop_02
