planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_max_states_failed, goal_name
right_arm_TRRT, 0.405654587, 1, 0.098424635, 0.008138, 0.0, 7.52975818747, 1, 0.0867918804288, 0.298983, 2.14577687905, 9.10133407927, 1, 0.0530799764342, 0.000108952, 4.96335001313e-16, 7.52975818747, 1, 0.0494212914423, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 5.081886671, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 5.080987951, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 0.584237143, 1, 0.100498635, 0.007958, 0.0, 7.52149398789, 1, 0.0868128798902, 0.475674, 5.4363728828, 11.5129494272, 1, 0.0576431458467, 0.000106508, 3.1347473802e-16, 7.52149398789, 1, 0.0496865651461, 1.0, industrial.top_bin_left_01
right_arm_TRRT, 3.482962118, 1, 0.10960126, 0.007988, 0.0, 7.52569205096, 1, 0.0867774179205, 3.365266, 4.93294690654, 20.9067481977, 1, 0.0552351384389, 0.000106858, 3.39597632243e-16, 7.52569205096, 1, 0.0495512880768, 11.0, industrial.top_bin_left_01
right_arm_TRRT, 1.438464977, 1, 0.110020304, 0.008272, 0.0, 7.5428001251, 1, 0.0868379985914, 1.320064, 4.8021034879, 14.3233764787, 1, 0.0742173953668, 0.000108673, 2.61228947798e-16, 7.5428001251, 1, 0.049455213114, 21.0, industrial.top_bin_left_01
right_arm_TRRT, 1.597155825, 1, 0.098607943, 0.0081, 0.0, 7.53490178656, 1, 0.0867258580402, 1.490339, 4.79582161704, 15.4655301597, 1, 0.0517248636378, 0.000108882, 2.61228948625e-16, 7.53490178656, 1, 0.0496949889588, 31.0, industrial.top_bin_left_01
right_arm_TRRT, 5.105379318, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 41.0, industrial.top_bin_left_01
right_arm_TRRT, 2.710171384, 1, 0.098712085, 0.007958, 0.0, 7.54104015221, 1, 0.0867248401046, 2.603395, 6.07813452335, 17.914174016, 1, 0.0563048500892, 0.000106299, 3.3959763313e-16, 7.54104015221, 1, 0.0495333896731, 51.0, industrial.top_bin_left_01
right_arm_TRRT, 5.091600337, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 61.0, industrial.top_bin_left_01
right_arm_TRRT, 5.087432207, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 1.295137321, 1, 0.103862229, 0.007968, 0.0, 7.56393251881, 1, 0.0868694717064, 1.183198, 5.84718262822, 13.5766400884, 1, 0.0697694474624, 0.000109092, 3.65720528241e-16, 7.56393251881, 1, 0.0495618982241, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 3.821300462, 1, 0.109354954, 0.007956, 0.0, 7.53873523196, 1, 0.0868017747998, 3.703883, 6.70532366978, 15.0402048044, 1, 0.0504019514658, 0.000106508, 2.87351843736e-16, 7.53873523196, 1, 0.0495032889166, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 0.649003407, 1, 0.116572664, 0.077638, 5.22457894701e-16, 7.53702232249, 1, 0.0386335794978, 0.454728, 3.39542801554, 10.7249927025, 1, 0.0533665056651, 6.4743e-05, 3.91843422051e-16, 7.53702232249, 1, 0.0574472053113, 1.0, industrial.top_bin_left_01
right_arm_TRRT, 5.091009335, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11.0, industrial.top_bin_left_01
right_arm_TRRT, 4.930897149, 1, 0.101227194, 0.089536, 0.0127593774384, 7.60118435921, 1, 0.0437339144786, 4.740066, 4.82480060969, 12.2030464595, 1, 0.0824995515868, 6.7955e-05, 0.00619741189863, 7.60118435921, 1, 0.0559053116811, 21.0, industrial.top_bin_left_01
right_arm_TRRT, 0.534082023, 1, 0.096973887, 0.007986, 0.0, 7.54400487332, 1, 0.0867284778506, 0.429015, 3.85010472212, 9.98522388958, 1, 0.0411792909061, 0.000107136, 4.17966316748e-16, 7.54400487332, 1, 0.0495361315141, 31.0, industrial.top_bin_left_01
right_arm_TRRT, 5.089380639, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 41.0, industrial.top_bin_left_01
right_arm_TRRT, 5.084693943, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 51.0, industrial.top_bin_left_01
right_arm_TRRT, 5.112514586, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 61.0, industrial.top_bin_left_01
right_arm_TRRT, 5.081905391, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 2.982395384, 1, 0.106791343, 0.007996, 0.0, 7.53601287705, 1, 0.0868033813313, 2.867503, 7.02127000357, 21.034240459, 1, 0.0684326473899, 0.000105041, 2.87351842495e-16, 7.53601287705, 1, 0.0494694694164, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 5.081440737, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 5.100990494, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0, industrial.top_bin_left_01
right_arm_TRRT, 5.094547641, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11.0, industrial.top_bin_left_01
right_arm_TRRT, 2.36915686, 1, 0.098553283, 0.00798, 0.0, 7.55230150729, 1, 0.086772008799, 2.262517, 4.10323212876, 14.1973568146, 1, 0.0658939196483, 0.000106577, 3.39597631416e-16, 7.55230150729, 1, 0.0494665056193, 21.0, industrial.top_bin_left_01
right_arm_TRRT, 5.083053785, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31.0, industrial.top_bin_left_01
right_arm_TRRT, 2.0234203, 1, 0.100730351, 0.00848, 0.0, 7.52858032335, 1, 0.0868450244889, 1.914104, 5.32819624654, 19.1828222832, 1, 0.064376917596, 0.000105949, 3.65720527827e-16, 7.52858032335, 1, 0.0496413713485, 41.0, industrial.top_bin_left_01
right_arm_TRRT, 5.081420618, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 51.0, industrial.top_bin_left_01
right_arm_TRRT, 2.389493734, 1, 0.108918518, 0.008065, 0.0, 7.56317845853, 1, 0.0868673687801, 2.272394, 5.2910275267, 21.6103292465, 1, 0.0504979146002, 0.000116216, 2.87351842909e-16, 7.56317845853, 1, 0.0497001138625, 61.0, industrial.top_bin_left_01
right_arm_TRRT, 5.084685699, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 5.090939844, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 1.329430021, 1, 0.103377732, 0.00898, 0.0, 7.54538473316, 1, 0.0868254350498, 1.216953, 5.72745338761, 12.9713058302, 1, 0.0452900334365, 0.000119289, 3.1347473802e-16, 7.54538473316, 1, 0.0496221015997, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 3.603598892, 1, 0.103455642, 0.007966, 0.0, 7.52997234083, 1, 0.0866941399872, 3.492072, 5.29363570659, 15.1165780412, 1, 0.0467566163524, 0.00010525, 2.61228948212e-16, 7.52997234083, 1, 0.0498958227279, 1.0, industrial.top_bin_left_01
right_arm_TRRT, 0.552634243, 1, 0.102805154, 0.007967, 0.0, 7.53480986809, 1, 0.0867238985375, 0.441756, 3.52473133613, 9.91679460861, 1, 0.0567650205589, 0.000106089, 2.87351842081e-16, 7.53480986809, 1, 0.0495496986379, 11.0, industrial.top_bin_left_01
right_arm_TRRT, 5.085343325, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 21.0, industrial.top_bin_left_01
right_arm_TRRT, 5.081325701, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31.0, industrial.top_bin_left_01
right_arm_TRRT, 0.441943702, 1, 0.098328566, 0.007987, 0.0, 7.5222394324, 1, 0.0868526417762, 0.335521, 5.10348505927, 11.3964538279, 1, 0.0438470969093, 0.000107136, 3.39597632717e-16, 7.5222394324, 1, 0.0493964835289, 41.0, industrial.top_bin_left_01
right_arm_TRRT, 5.077496728, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 51.0, industrial.top_bin_left_01
right_arm_TRRT, 2.433289109, 1, 0.1265623, 0.007992, 0.0, 7.5427113637, 1, 0.0868637096137, 2.298629, 4.02286914059, 12.8711067132, 1, 0.0490008988935, 0.000105809, 3.13474737606e-16, 7.5427113637, 1, 0.0497627167634, 61.0, industrial.top_bin_left_01
right_arm_TRRT, 5.099948532, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 0.456349163, 1, 0.09957821, 0.008038, 0.0, 7.5486976596, 1, 0.0867308294401, 0.348624, 3.84782192653, 11.1411239775, 1, 0.0743491490139, 0.000108953, 3.91843422524e-16, 7.5486976596, 1, 0.0496060099069, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 5.083835729, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 3.929247639, 1, 0.10279776, 0.008004, 0.0, 7.535993556, 1, 0.086809177883, 3.81834, 6.30207630883, 18.7949125339, 1, 0.038450949405, 0.000105879, 4.17966315946e-16, 7.535993556, 1, 0.0497080045752, 1.0, industrial.top_bin_left_01
right_arm_TRRT, 2.085821597, 1, 0.098199298, 0.008052, 0.0, 7.53017720555, 1, 0.0868293512613, 1.979464, 5.81340650947, 16.1589918907, 1, 0.0545012514506, 0.000106299, 4.96335000425e-16, 7.53017720555, 1, 0.0496856317691, 11.0, industrial.top_bin_left_01
right_arm_TRRT, 4.417101156, 1, 0.101138441, 0.008041, 0.0, 7.53983000075, 1, 0.0867859805003, 4.307796, 4.78368651169, 17.0316159543, 1, 0.0684545646337, 0.000125715, 2.35106053515e-16, 7.53983000075, 1, 0.0497086189742, 21.0, industrial.top_bin_left_01
right_arm_TRRT, 5.102895143, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31.0, industrial.top_bin_left_01
right_arm_TRRT, 4.138195298, 1, 0.101215209, 0.008, 0.0, 7.53260678125, 1, 0.0867265537381, 4.028874, 4.78274025445, 12.4054978147, 1, 0.0634465091344, 0.000106089, 2.87351843736e-16, 7.53260678125, 1, 0.0496901172104, 41.0, industrial.top_bin_left_01
right_arm_TRRT, 5.091189319, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 51.0, industrial.top_bin_left_01
right_arm_TRRT, 5.090488462, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 61.0, industrial.top_bin_left_01
right_arm_TRRT, 5.079134995, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71.0, industrial.top_bin_left_01
right_arm_TRRT, 5.086322919, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 81.0, industrial.top_bin_left_01
right_arm_TRRT, 0.619543098, 1, 0.106553307, 0.008004, 0.0, 7.55644063766, 1, 0.0867276359349, 0.504876, 4.09366933874, 14.3876632163, 1, 0.0455789811615, 0.000109791, 3.91843423352e-16, 7.55644063766, 1, 0.0495184065007, 91.0, industrial.top_bin_left_01
right_arm_TRRT, 0.276936403, 1, 0.109807139, 0.007031, 0.0, 5.73708166309, 1, 0.105617720634, 0.160003, 0.97303875958, 6.3695142159, 1, 0.0687717634507, 9.5264e-05, 3.36895262236e-16, 5.73708166309, 1, 0.0941190431858, 1.0, industrial.top_bin_right_01
