planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_temp_change_factor, param_max_states_failed, goal_name
right_arm_TRRT, 1.19568089, 1, 0.019154207, 0.007044, 0.0, 5.70487887424, 1, 0.105281125754, 1.169387, 0.308503608096, 6.3048409602, 1, 0.0471385371956, 9.5683e-05, 7.65671054937e-16, 5.70487887424, 1, 0.0935367625849, 20.0, 21.0, industrial.top_bin_right_01
right_arm_TRRT, 1.617831356, 1, 0.019127651, 0.007017, 0.0, 5.71045447086, 1, 0.105586681515, 1.591592, 2.34259979808, 6.92994947815, 1, 0.0569153791294, 9.4705e-05, 4.59402630431e-16, 5.71045447086, 1, 0.0940464316257, 20.0, 31.0, industrial.top_bin_right_01
right_arm_TRRT, 1.504635328, 1, 0.01787082, 0.007051, 0.0, 4.78873583556, 1, 0.0732808759203, 1.479629, 2.94282667166, 7.0633887387, 1, 0.0436215717134, 8.4508e-05, 2.73285667837e-16, 4.78873583556, 1, 0.0657457423647, 20.0, 41.0, industrial.top_bin_right_01
right_arm_TRRT, 1.01490867, 1, 0.019393105, 0.007107, 0.0, 5.7139735292, 1, 0.105551816523, 0.988314, 2.2963673097, 8.68032323551, 1, 0.0754708539074, 9.4565e-05, 8.57551579249e-16, 5.7139735292, 1, 0.093996607281, 20.0, 51.0, industrial.top_bin_right_01
right_arm_TRRT, 1.464053073, 1, 0.019338599, 0.007025, 0.0, 5.72351991546, 1, 0.105535022914, 1.437594, 2.24705524436, 7.52772035511, 1, 0.0598973433177, 9.5474e-05, 5.81909998569e-16, 5.72351991546, 1, 0.0939420227861, 20.0, 61.0, industrial.top_bin_right_01
right_arm_TRRT, 2.906605228, 1, 0.0207501, 0.00704, 0.0, 5.71998764142, 1, 0.105542592704, 2.878717, 2.68139001773, 11.9668765521, 1, 0.035989467534, 9.8128e-05, 2.14387894138e-16, 5.71998764142, 1, 0.0940117756354, 20.0, 71.0, industrial.top_bin_right_01
right_arm_TRRT, 1.084568781, 1, 0.019056914, 0.007046, 0.0, 5.71101679977, 1, 0.105614166707, 1.058372, 1.4811664312, 7.11644955556, 1, 0.05546392348, 9.3867e-05, 7.04417368607e-16, 5.71101679977, 1, 0.094078442403, 20.0, 81.0, industrial.top_bin_right_01
right_arm_TRRT, 1.265092506, 1, 0.01896622, 0.006992, 0.0, 5.70081809934, 1, 0.105619728565, 1.23904, 3.40381543384, 7.70555762744, 1, 0.0753271567466, 9.4286e-05, 6.73790527468e-16, 5.70081809934, 1, 0.094124480825, 20.0, 91.0, industrial.top_bin_right_01
right_arm_TRRT, 0.39020444, 1, 0.019217294, 0.007011, 0.0, 5.70435212493, 1, 0.105489943177, 0.363882, 2.29605358616, 6.97174039131, 1, 0.0509593722721, 9.4146e-05, 7.04417370401e-16, 5.70435212493, 1, 0.0938634145363, 30.0, 1.0, industrial.top_bin_right_01
right_arm_TRRT, 0.690429911, 1, 0.019712416, 0.007037, 0.0, 5.70829666497, 1, 0.105497308075, 0.663586, 3.5143633852, 9.34886246409, 1, 0.054358302329, 9.4495e-05, 6.12536842567e-16, 5.70829666497, 1, 0.0940241487376, 30.0, 11.0, industrial.top_bin_right_01
