planner_type, total_time, solved, process_time, path_simplify_time, path_simplify_smoothness, path_simplify_length, path_simplify_correct, path_simplify_clearance, path_plan_time, path_plan_smoothness, path_plan_length, path_plan_correct, path_plan_clearance, path_interpolate_time, path_interpolate_smoothness, path_interpolate_length, path_interpolate_correct, path_interpolate_clearance, param_temp_change_factor, param_range, goal_name
right_arm_TRRT, 0.143608555, 1, 0.092326634, 0.007051, 0.0, 5.70692315965, 1, 0.105352398008, 0.04413, 5.61507416178, 14.6489680596, 1, 0.108987195417, 0.000100921, 7.96297894779e-16, 5.70692315965, 1, 0.0936436054522, 1.0, 600.0, industrial.top_bin_right_01
right_arm_TRRT, 0.320239397, 1, 0.095950366, 0.007062, 0.0, 5.71164481924, 1, 0.105424392968, 0.217131, 5.09457684823, 11.0388747739, 1, 0.116780411452, 9.6031e-05, 5.5128315647e-16, 5.71164481924, 1, 0.0937359638769, 1.0, 700.0, industrial.top_bin_right_01
right_arm_TRRT, 0.126676655, 1, 0.102933493, 3e-06, 0.0, 4.94171917575, 1, 0.0799450408667, 0.023653, 0.0, 4.94171917575, 1, 0.0799450408667, 8.7162e-05, 5.8073204395e-16, 4.94171917575, 1, 0.0715195552374, 1.0, 800.0, industrial.top_bin_right_01
right_arm_TRRT, 0.140832573, 1, 0.09540243, 3e-06, 0.0, 5.18962285618, 1, 0.0893768519163, 0.045336, 0.0, 5.18962285618, 1, 0.0893768519163, 9.1143e-05, 6.90805440231e-16, 5.18962285618, 1, 0.079471592274, 1.0, 900.0, industrial.top_bin_right_01
right_arm_TRRT, 0.175377959, 1, 0.105839438, 0.00701, 0.0, 5.71704503325, 1, 0.105549298227, 0.062432, 5.75675694504, 11.238993377, 1, 0.0840465687215, 9.6521e-05, 1.83761052215e-16, 5.71704503325, 1, 0.094017175251, 1.0, 1000.0, industrial.top_bin_right_01
right_arm_TRRT, 0.254897637, 1, 0.093678047, 0.007044, 0.0, 5.71774708062, 1, 0.105591285974, 0.154079, 2.23052842284, 6.59545334658, 1, 0.0723062973808, 9.659e-05, 4.28775788275e-16, 5.71774708062, 1, 0.0940893875628, 2.0, 0.0, industrial.top_bin_right_01
right_arm_TRRT, 0.121017413, 1, 0.098390219, 2e-06, 0.0, 5.25196136187, 1, 0.0915481690317, 0.02253, 0.0, 5.25196136187, 1, 0.0915481690317, 9.5194e-05, 5.39251184975e-16, 5.25196136187, 1, 0.0812639671245, 2.0, 100.0, industrial.top_bin_right_01
right_arm_TRRT, 0.119414908, 1, 0.09200694, 2e-06, 0.0, 5.71627090802, 1, 0.105543315411, 0.027304, 0.0, 5.71627090802, 1, 0.105543315411, 0.000101968, 2.14387894274e-16, 5.71627090802, 1, 0.0939474113542, 2.0, 200.0, industrial.top_bin_right_01
right_arm_TRRT, 0.108512334, 1, 0.093103572, 2e-06, 0.0, 5.70921898949, 1, 0.105512488633, 0.015302, 0.0, 5.70921898949, 1, 0.105512488633, 0.000104762, 9.18805262554e-16, 5.70921898949, 1, 0.0939317679611, 2.0, 300.0, industrial.top_bin_right_01
right_arm_TRRT, 0.265169823, 1, 0.094862883, 0.007045, 0.0, 5.70027083811, 1, 0.10557853803, 0.163165, 6.17100634897, 12.1008386778, 1, 0.10016561253, 9.694e-05, 4.59402631925e-16, 5.70027083811, 1, 0.0941015854478, 2.0, 400.0, industrial.top_bin_right_01
right_arm_TRRT, 0.160361247, 1, 0.09706219, 0.007046, 0.0, 5.71566361914, 1, 0.105482060462, 0.056155, 6.2013764238, 11.2472856657, 1, 0.133577393989, 9.8057e-05, 1.53134210293e-16, 5.71566361914, 1, 0.0938893407583, 2.0, 500.0, industrial.top_bin_right_01
right_arm_TRRT, 0.122345236, 1, 0.100508832, 2e-06, 0.0, 5.72066589064, 1, 0.10568286851, 0.021739, 0.0, 5.72066589064, 1, 0.10568286851, 9.5404e-05, 2.14387894138e-16, 5.72066589064, 1, 0.0942210585907, 2.0, 600.0, industrial.top_bin_right_01
right_arm_TRRT, 0.256626765, 1, 0.094150759, 0.007, 0.0, 5.70068531878, 1, 0.105588678271, 0.155382, 6.92579640788, 12.4091431641, 1, 0.0851328177378, 9.4006e-05, 3.98148947323e-16, 5.70068531878, 1, 0.0940248573135, 2.0, 700.0, industrial.top_bin_right_01
right_arm_TRRT, 0.429678034, 1, 0.106754002, 0.00701, 0.0, 5.71760494798, 1, 0.105433102697, 0.315818, 7.12673581285, 25.969780528, 1, 0.119597926736, 9.6032e-05, 2.14387894138e-16, 5.71760494798, 1, 0.0937700220223, 2.0, 800.0, industrial.top_bin_right_01
right_arm_TRRT, 0.135857922, 1, 0.110929138, 2e-06, 0.0, 5.69962961068, 1, 0.105435028672, 0.024823, 0.0, 5.69962961068, 1, 0.105435028672, 0.000103784, 2.14387895244e-16, 5.69962961068, 1, 0.0938025281347, 2.0, 900.0, industrial.top_bin_right_01
right_arm_TRRT, 0.109625112, 1, 0.099135861, 2e-06, 0.0, 5.71672579925, 1, 0.105429172516, 0.010382, 0.0, 5.71672579925, 1, 0.105429172516, 0.000105251, 4.28775788412e-16, 5.71672579925, 1, 0.0938249227816, 2.0, 1000.0, industrial.top_bin_right_01
right_arm_TRRT, 0.241907718, 1, 0.092334743, 0.007168, 0.0, 5.72552484157, 1, 0.105412889272, 0.142297, 2.03941776439, 6.53912838494, 1, 0.0557801796293, 0.000107975, 6.73790524705e-16, 5.72552484157, 1, 0.0937417796974, 3.0, 0.0, industrial.top_bin_right_01
right_arm_TRRT, 0.145027729, 1, 0.106354354, 3e-06, 0.0, 5.71961549677, 1, 0.105479534715, 0.038558, 0.0, 5.71961549677, 1, 0.105479534715, 0.000112375, 2.75641578119e-16, 5.71961549677, 1, 0.0938692455148, 3.0, 100.0, industrial.top_bin_right_01
right_arm_TRRT, 0.106905493, 1, 0.095523388, 2e-06, 0.0, 5.71527007386, 1, 0.105397649109, 0.011281, 0.0, 5.71527007386, 1, 0.105397649109, 9.9105e-05, 7.65671051714e-16, 5.71527007386, 1, 0.0936811376235, 3.0, 200.0, industrial.top_bin_right_01
right_arm_TRRT, 0.464322453, 1, 0.092335653, 0.007026, 0.0, 5.69225618071, 1, 0.105606224388, 0.364864, 8.93114653381, 16.0768338248, 1, 0.117770019174, 9.68e-05, 9.18805262123e-16, 5.69225618071, 1, 0.0940672351882, 3.0, 300.0, industrial.top_bin_right_01
right_arm_TRRT, 0.097734426, 1, 0.085507988, 2e-06, 0.0, 5.71520522066, 1, 0.105558618903, 0.012096, 0.0, 5.71520522066, 1, 0.105558618903, 0.000128438, 4.59402631925e-16, 5.71520522066, 1, 0.0940199401872, 3.0, 400.0, industrial.top_bin_right_01
right_arm_TRRT, 0.137415168, 1, 0.091044984, 3e-06, 0.0, 5.71543973839, 1, 0.105445142835, 0.046259, 0.0, 5.71543973839, 1, 0.105445142835, 0.000108184, 7.35044210343e-16, 5.71543973839, 1, 0.093788238435, 3.0, 500.0, industrial.top_bin_right_01
right_arm_TRRT, 0.107151265, 1, 0.089742141, 2e-06, 0.0, 5.71136948344, 1, 0.105367965996, 0.017312, 0.0, 5.71136948344, 1, 0.105367965996, 9.5124e-05, 7.04417368739e-16, 5.71136948344, 1, 0.0937274434957, 3.0, 600.0, industrial.top_bin_right_01
right_arm_TRRT, 0.11259574, 1, 0.100784524, 3e-06, 0.0, 5.70932314871, 1, 0.105648573488, 0.011714, 0.0, 5.70932314871, 1, 0.105648573488, 9.4216e-05, 8.26924737811e-16, 5.70932314871, 1, 0.094177140758, 3.0, 700.0, industrial.top_bin_right_01
right_arm_TRRT, 0.105956355, 1, 0.09428393, 2e-06, 0.0, 5.70212688614, 1, 0.105607692152, 0.011576, 0.0, 5.70212688614, 1, 0.105607692152, 9.4425e-05, 7.35044210277e-16, 5.70212688614, 1, 0.0940571910348, 3.0, 800.0, industrial.top_bin_right_01
right_arm_TRRT, 0.150900055, 1, 0.08960948, 0.00699, 0.0, 5.7186278621, 1, 0.105567015707, 0.054197, 3.60229855378, 8.37025543196, 1, 0.12542984883, 0.000103575, 5.81909998569e-16, 5.7186278621, 1, 0.0940386506504, 3.0, 900.0, industrial.top_bin_right_01
right_arm_TRRT, 0.140192758, 1, 0.093322145, 3e-06, 0.0, 5.70880005581, 1, 0.10555504635, 0.046772, 0.0, 5.70880005581, 1, 0.10555504635, 9.5613e-05, 6.12536842567e-16, 5.70880005581, 1, 0.0939860510929, 3.0, 1000.0, industrial.top_bin_right_01
right_arm_TRRT, 0.21314715, 1, 0.103035001, 0.007111, 0.0, 5.72374193217, 1, 0.105366326869, 0.102904, 1.17216500899, 6.586263545, 1, 0.057822834023, 9.7149e-05, 7.04417366627e-16, 5.72374193217, 1, 0.0937030017376, 4.0, 0.0, industrial.top_bin_right_01
right_arm_TRRT, 0.141042238, 1, 0.090106984, 0.007023, 0.0, 5.7006257951, 1, 0.105675350875, 0.043804, 7.4632052929, 14.5811468513, 1, 0.0962189833323, 0.000108254, 7.35044210343e-16, 5.7006257951, 1, 0.0942343077783, 4.0, 100.0, industrial.top_bin_right_01
right_arm_TRRT, 0.138464396, 1, 0.097414726, 0.007131, 0.0, 5.70634304377, 1, 0.105558544397, 0.033791, 6.52822019637, 12.5707779312, 1, 0.118474548062, 0.00012767, 6.12536841072e-16, 5.70634304377, 1, 0.0939717755235, 4.0, 200.0, industrial.top_bin_right_01
right_arm_TRRT, 0.221678537, 1, 0.092899178, 0.007018, 0.0, 5.69029593362, 1, 0.105581745505, 0.121664, 6.76144980719, 17.1272363965, 1, 0.122663350776, 9.7359e-05, 6.12536842567e-16, 5.69029593362, 1, 0.0940833073752, 4.0, 300.0, industrial.top_bin_right_01
