Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T11:13:40.775243
Goal name tabletop.tabletop_02
10 seconds per run
99.2103 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
160 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.13677998383839926; 0; 7.9353804574909574; 3.4988846737920979e-15; 0.00010874300000000001; 0.12736564697254271; 0; 15.462106860811426; 4.2499764336039396; 0.48075600000000002; 0.13902254402637482; 0; 7.9353804574909566; 0; 0.0086800000000000002; 0.111668724; 1; 0.601213467; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.13662226125597954; 0; 6.1223560270600474; 2.7755575835406065e-16; 0.00010336500000000001; 0.082747755306107659; 0; 9.5602560561577992; 4.0598850382051541; 0.64778999999999998; 0.13753474503755569; 0; 6.1223560270600483; 0; 0.0068469999999999998; 0.11496561700000009; 1; 0.76970598200000007; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.11496348828077316; 0; 6.1759350509288549; 1.0150610591234219e-16; 0.00011586700000000001; 0.09835293649562768; 0; 22.141328862983954; 6.2966333671569279; 0.47521799999999997; 0.11089405417442322; 0; 6.1759350509288566; 0; 0.0077270000000000004; 0.12759485800000001; 1; 0.61065572499999998; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.12976956457802744; 0; 5.70327103944933; 5.3828995559575402e-17; 0.00010888300000000001; 0.092979849531100348; 0; 12.127108994856624; 5.3896944378732803; 0.32744099999999998; 0.12961583584547043; 0; 5.70327103944933; 0; 0.0068760000000000002; 0.12239359100000002; 1; 0.456819474; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.13418450206518173; 0; 5.9744052229067792; 1.665334550124364e-16; 0.00010629900000000001; 0.11506804756142876; 0; 10.683849285246648; 5.1237472996934894; 0.36139399999999999; 0.13466854393482208; 0; 5.9744052229067801; 0; 0.0068700000000000002; 0.11952701000000006; 1; 0.48789730900000006; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.13846394996489247; 0; 6.3584490138972862; 2.3207242434776251e-15; 0.00010231800000000001; 0.10788482241332531; 0; 11.469759573291075; 4.853384350363215; 0.57293899999999998; 0.13902254402637482; 0; 6.3584490138972862; 0; 0.006038; 0.11823470900000002; 1; 0.697314027; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.13874949803275446; 0; 6.9352620257627686; 2.0342150856183741e-15; 0.00010853300000000001; 0.094549626111984253; 0; 10.900409968886297; 5.1722317830291162; 0.34030100000000002; 0.13902254402637482; 0; 6.9352620257627686; 0; 0.0060819999999999997; 0.116132234; 1; 0.46262376700000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.13863031985238194; 0; 7.1149539188679318; 1.1102230246251565e-16; 0.00010574; 0.11649822881993126; 0; 12.188013174001004; 5.5884644976439253; 0.45210400000000001; 0.13902254402637482; 0; 7.1149539188679327; 0; 0.0069569999999999996; 0.11672416299999999; 1; 0.57589090300000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.13390712765976787; 0; 5.9115184513183046; 3.8025138604406786e-15; 0.00010455200000000001; 0.07952572679256692; 0; 12.558117451394722; 7.6023856726955632; 0.587812; 0.13427888602018356; 0; 5.9115184513183046; 0; 0.0069760000000000004; 0.11297063900000007; 1; 0.70786319100000006; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.12143078665522967; 0; 5.9443319399930399; 3.1347473884693905e-16; 0.00011328300000000001; 0.086998439497417868; 0; 12.585894452899694; 5.2837522697424379; 0.31662200000000001; 0.1199166364967823; 0; 5.944331939993039; 0; 0.0077660000000000003; 0.12003967500000003; 1; 0.44454095800000004; 
