Experiment industrial
Running on ros_monster
Starting at 2013-05-01T10:52:31.566225
Goal name industrial.top_bin_right_02
10 seconds per run
149.363 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
320 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.1118086882192513; 1; 5.8624681757686083; 2.1438789441037507e-16; 9.7568000000000012e-05; 0.058137612990461864; 1; 8.5089426218732065; 5.2856774295425106; 0.12162100000000001; 0.11723474413156509; 1; 5.8624681757686101; 0; 0.0070910000000000001; 0.10089589900000001; 1; 0.22970546700000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.085550902187824254; 1; 4.799709935429795; 1.0302869685357663e-15; 8.1714000000000011e-05; 0.054781372157426983; 1; 8.4724082078397966; 5.4000881823301619; 0.078372999999999998; 0.087020749226212502; 1; 4.7997099354297958; 0; 0.0063160000000000004; 0.10228429200000003; 1; 0.18705500600000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.11165809682730971; 1; 5.8471419809580487; 2.143878941377278e-16; 9.4984000000000011e-05; 0.05894810613244772; 1; 7.9682762452013609; 3.8010598761666103; 0.071943999999999994; 0.11713817343115807; 1; 5.8471419809580496; 0; 0.0070349999999999996; 0.111182404; 1; 0.190256388; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.099172884529387509; 1; 5.3246891467066355; 5.2632795193280417e-16; 8.8768000000000001e-05; 0.06066871310273806; 1; 7.2939966755236423; 4.7592138525832048; 0.110378; 0.10248193517327309; 1; 5.3246891467066355; 0; 0.0070689999999999998; 0.093240896999999989; 1; 0.210776665; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.11127528317015746; 1; 5.8788082723215425; 2.143878941377278e-16; 9.4984000000000011e-05; 0.078913314888874694; 1; 7.7393486358223171; 3.0559592507976108; 0.118145; 0.11684359237551689; 1; 5.8788082723215425; 0; 0.0071760000000000001; 0.095018329000000012; 1; 0.22043431300000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.11150069380628652; 1; 5.8778684364736753; 3.0626842031360281e-16; 9.5543000000000003e-05; 0.071705149331440524; 1; 7.9427184717480666; 3.3679391979550335; 0.085638000000000006; 0.11697852611541748; 1; 5.8778684364736762; 0; 0.0070660000000000002; 0.100359799; 1; 0.19315934200000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.11143964734570734; 1; 5.8862443383162262; 5.5128315650995568e-16; 9.5822000000000005e-05; 0.071473829075694079; 1; 9.3243730826702027; 5.9097202322158386; 0.115562; 0.11695973202586174; 1; 5.8862443383162262; 0; 0.0070609999999999996; 0.10502487600000003; 1; 0.22774369800000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.11144893410904654; 1; 5.8600658555982355; 3.9814894635315428e-16; 9.4984000000000011e-05; 0.060654646717011929; 1; 7.6973621619723946; 3.5923829440118578; 0.241644; 0.11697636917233467; 1; 5.8600658555982363; 0; 0.0071799999999999998; 0.090591371000000032; 1; 0.33951035500000004; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.11144510682286887; 1; 5.846597738412699; 4.9002947239270564e-16; 9.5333000000000004e-05; 0.049792309167484443; 1; 10.333617861595281; 5.9019845368181523; 0.268507; 0.11699051037430763; 1; 5.8465977384127008; 0; 0.0073720000000000001; 0.101007264; 1; 0.376981597; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.11126770644352355; 1; 5.8607420984529117; 3.9814894635315428e-16; 9.3098000000000009e-05; 0.082366416720967547; 1; 13.838471837140705; 4.4687745728425794; 2.7924820000000001; 0.11686941236257553; 1; 5.8607420984529117; 0; 0.0070619999999999997; 0.10859145699999986; 1; 2.908228555; 
