Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T11:54:40.284874
Goal name tabletop.tabletop_05
10 seconds per run
3486.78 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
400 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.114720605; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.064787522993503585; 0; 9.0803946364563117; 0.19492726922504902; 9.1702000000000011e-05; 0.079867578297853473; 0; 11.171763012223353; 3.0749456538552211; 3.1147809999999998; 0.061231910779427454; 0; 9.0803946364563117; 0.43329184769170132; 0.064744999999999997; 0.1284325740000001; 1; 3.3080502759999999; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.105819114999999; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.073446635107852917; 0; 8.8076558379827183; 0.10642469367778803; 5.6362000000000007e-05; 0.091473291421102151; 0; 17.856957349278041; 4.9733178670057692; 2.615923; 0.066237879246473313; 0; 8.8076558379827166; 0.14379136775319146; 0.116663; 0.12635548800000015; 1; 2.8589978500000002; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.077130475433588752; 0; 9.2435848508619607; 0.25940501388601972; 0.000119499; 0.095741197952757706; 0; 23.241571857488097; 5.7395308728490404; 1.1660759999999999; 0.089596299454569817; 0; 9.2435848508619642; 2.3913172486241172; 0.078588000000000005; 0.12670585000000009; 1; 1.371489349; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.115142574; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.075161544486689255; 0; 9.3021734116001742; 0.26253524144178564; 3.5339000000000002e-05; 0.078022483071046214; 0; 12.831425646323819; 3.546103042663618; 3.958609; 0.066220128541868747; 0; 9.3021734116001742; 0.31026892170392889; 0.12095599999999999; 0.1287881000000001; 1; 4.2083884390000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.099857389; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.112007892999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.10519354; 
