Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T14:24:44.189694
Goal name tabletop.tabletop_09
10 seconds per run
6864.23 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
720 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.101411359; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.100984631999999; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.113040631000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.123340336; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.102816289; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.114557654; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.100267845999999; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.080066848416418701; 0; 10.786911235341567; 0.19592828504919574; 7.8222000000000011e-05; 0.090238724674644138; 0; 22.24534386622792; 5.4003125217321895; 6.0104540000000002; 0.067462095479255149; 0; 10.786911235341567; 0.3174610934820668; 0.133968; 0.14535346900000007; 1; 6.2898536910000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.114661024; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.110528022; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.105006787000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.111025991; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.101852962000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.103086502; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.100802202000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.113876701000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.098404134999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.114770673000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.096211629855307804; 0; 10.545373834414518; 0.086454369495425232; 6.7606000000000003e-05; 0.091663385042920709; 0; 15.342606689546828; 4.4108914690872334; 1.5645560000000001; 0.087118777354727645; 0; 10.545373834414516; 0.12382138001143821; 0.13225899999999999; 0.13579066799999998; 1; 1.832673274; 
