Experiment industrial
Running on ros_monster
Starting at 2013-05-01T10:25:28.055459
Goal name industrial.oven_01
10 seconds per run
741.266 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
80 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.086834294999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.085713137000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.083272743; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.046829202537553322; 1; 13.281982281217873; 0.072156777400084429; 5.1334e-05; 0.071555574869979988; 1; 23.589989582861293; 6.0977728829431159; 7.143027; 0.045847412906777192; 1; 13.281982281217873; 0.087310092443585799; 0.28215099999999999; 0.1327273719999997; 1; 7.5579567059999997; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.052247396423123205; 1; 14.902552099881179; 0.18474254788335356; 7.3823000000000001e-05; 0.082481007557362318; 1; 31.217641090436018; 4.9570824261290811; 9.8348200000000006; 0.045919587498302668; 1; 14.902552099881179; 0.24653160744793393; 0.20371900000000001; 0.13385512699999913; 1; 10.17246795; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.090779701000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.097737987; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.089482537; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.075219411999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.083092901000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.047972263261191035; 1; 15.343952445882493; 0.21430773261547356; 1.6273000000000002e-05; 0.071397958447535839; 1; 30.60918585479499; 6.1308611800468045; 7.3507740000000004; 0.047972263261191035; 1; 15.343952445882493; 0.21430773261547356; 0.27988400000000002; 0.1390319149999994; 1; 7.7697061879999998; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.098636916; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.059513255732297266; 0; 16.820596570549135; 0.2383816437136293; 0.000161822; 0.068053621700719782; 1; 40.055468304024068; 7.0629509088575615; 8.7428950000000007; 0.047782554102515612; 1; 16.820596570549146; 0.64268480133558947; 0.22526599999999999; 0.13048883599999994; 1; 9.0988116580000007; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.090499772999999; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.090622281; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.094416338; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.079139809000001; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.088297192000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.040178462777475943; 0; 14.806366327579768; 0.11635670316333958; 0.000124318; 0.05297511791729409; 1; 23.056768272001978; 5.1134304711836229; 4.478796; 0.041667589640790786; 1; 14.806366327579768; 0.25806874133130919; 0.22231300000000001; 0.11702045500000034; 1; 4.8182537730000004; 
