Experiment industrial
Running on ros_monster
Starting at 2013-05-01T10:49:41.716614
Goal name industrial.top_bin_right_01
10 seconds per run
169.784 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
240 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.093837608294240357; 1; 5.7185241184265783; 2.4501473619635282e-16; 9.6730000000000004e-05; 0.054312289847681917; 1; 7.8310506946855032; 3.4324250659601927; 0.10785; 0.10543389618396759; 1; 5.71852411842658; 0; 0.0070670000000000004; 0.10646066200000001; 1; 0.22147439200000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.094082652237908598; 1; 5.7151484394751053; 5.5128315796503191e-16; 9.5054000000000002e-05; 0.057256331201642752; 1; 7.6930543280776238; 2.7222737341500998; 0.26436199999999999; 0.10557407885789871; 1; 5.7151484394751062; 0; 0.007051; 0.095377005000000029; 1; 0.36688505900000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.093983200089684846; 1; 5.7121291009474353; 4.9002947336275646e-16; 9.4216000000000007e-05; 0.059471765318169043; 1; 12.368046052271815; 6.3295952888884468; 0.300543; 0.10554093867540359; 1; 5.712129100947438; 0; 0.0070049999999999999; 0.099456690000000042; 1; 0.40709890600000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.093777218255503419; 1; 5.7247652454264752; 7.6567105037503609e-16; 9.4216000000000007e-05; 0.074910527095198631; 1; 9.4784104287513085; 3.4871585792196687; 0.16339899999999999; 0.10543342307209969; 1; 5.7247652454264735; 0; 0.0070060000000000001; 0.097774636000000054; 1; 0.26827385200000003; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.094101630922021534; 1; 5.7084516372605787; 5.2065631652775599e-16; 9.4076000000000012e-05; 0.061219944385811687; 1; 6.8154967242307398; 2.2641269300101263; 0.072727; 0.10561195015907288; 1; 5.7084516372605778; 0; 0.0070049999999999999; 0.089852282000000006; 1; 0.169678358; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.093935228884220123; 1; 5.7151663177863448; 8.5755157944682816e-16; 9.5054000000000002e-05; 0.059024569382400888; 1; 13.631017068372691; 5.463953648564595; 0.467945; 0.10551366955041885; 1; 5.7151663177863465; 0; 0.0070320000000000001; 0.10506736200000008; 1; 0.58013941600000007; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.093898546079109454; 1; 5.7174511856096055; 4.9002947248916252e-16; 9.5124000000000006e-05; 0.061468025838786904; 1; 9.4517499294124168; 4.6333139549024676; 0.090068999999999996; 0.1054764986038208; 1; 5.7174511856096046; 0; 0.0070049999999999999; 0.10317018200000003; 1; 0.20033930600000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.093811149484124681; 1; 5.7084033418979105; 4.5940263192548054e-16; 9.4844000000000002e-05; 0.054330129749499835; 1; 8.682447991493353; 5.2739319833385228; 0.182781; 0.10543369129300117; 1; 5.7084033418979097; 0; 0.0070159999999999997; 0.097824071000000054; 1; 0.28771591500000004; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.088278101224984445; 1; 5.4700327073218222; 4.1236855265315453e-16; 9.1911000000000008e-05; 0.083710537912944957; 1; 8.0690481273753711; 4.4261100463084633; 0.16844999999999999; 0.098892379552125931; 1; 5.470032707321824; 0; 0.0070340000000000003; 0.10426484200000001; 1; 0.279840753; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.09390817711065555; 1; 5.7055103537911211; 6.4316368579835436e-16; 9.5333000000000004e-05; 0.071070723912932662; 1; 6.4476183280301971; 0.98689823475327754; 0.081081; 0.10548710450530052; 1; 5.7055103537911229; 0; 0.0069979999999999999; 0.10114862300000001; 1; 0.18932295600000001; 
