Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T11:05:22.618575
Goal name tabletop.tabletop_01
10 seconds per run
498.146 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
80 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.067228528646458133; 0; 8.8967330773392774; 0.16142261706315128; 5.8806000000000006e-05; 0.10477495301318795; 0; 14.727522553606191; 4.0715150326893061; 2.7619189999999998; 0.06533500313054065; 0; 8.8967330773392774; 0.16578539049729044; 0.145288; 0.14046617700000003; 1; 3.0477319829999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.107743802; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.112941245; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.089591483218651832; 0; 7.9289117640371485; 0.1675045705674422; 7.3333000000000011e-05; 0.087448970629618719; 0; 13.179009799300974; 4.6670625089228519; 0.30335400000000001; 0.084338486523312675; 0; 7.9289117640371485; 0.30828008984413641; 0.087356000000000003; 0.12985458999999999; 1; 0.520637923; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10234574858461404; 0; 8.1191551152354631; 0.091538650942994612; 4.6654000000000004e-05; 0.1101030650238196; 0; 14.530398789203343; 6.001022487241559; 9.9011479999999992; 0.090482288729399438; 0; 8.1191551152354631; 0.12928882233701541; 0.115804; 0.12223280900000061; 1; 10.139231463; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.108396815000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.116699061; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.11298399; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.091621497; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.096789816999999; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.096394833944299638; 0; 7.5365463372282973; 0.13189455530686189; 4.1346e-05; 0.099497547062734767; 0; 10.973937201735565; 5.026642906016745; 4.8510169999999997; 0.084529686123132705; 0; 7.5365463372282973; 0.17937659521733218; 0.086170999999999998; 0.12459374000000073; 1; 5.0618230860000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.072756305155861706; 0; 8.6456579568011627; 0.13051319225538044; 7.2286000000000006e-05; 0.10752173445441505; 0; 22.797073292102212; 6.3938960529308932; 8.1930230000000002; 0.075196355006054927; 0; 8.6456579568011609; 0.29239566434656244; 0.10474; 0.13311539500000039; 1; 8.4309506810000006; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.099604700691998005; 0; 8.7134892042310579; 0.14406131247158349; 6.886400000000001e-05; 0.12473961923803602; 0; 20.67583179211373; 4.8982863187395713; 6.6880199999999999; 0.10399016600978725; 0; 8.7134892042310579; 0.29659681979443658; 0.085214999999999999; 0.13027277100000045; 1; 6.9035766350000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.066271681276777267; 0; 8.6772238904764833; 0.16846330955835803; 1.6063000000000002e-05; 0.097359681649035523; 0; 14.458425241101125; 3.8213467145808058; 0.836588; 0.066271681276777267; 0; 8.6772238904764833; 0.16846330955835803; 0.19938700000000001; 0.14657977999999991; 1; 1.1825708429999999; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.099767005381484822; 0; 8.722897836562252; 0.24282898220208587; 6.1111000000000005e-05; 0.11933360621333122; 0; 21.845491605147494; 5.9292257890851205; 0.73165000000000002; 0.08671139474958181; 0; 8.7228978365622485; 0.37970523770354975; 0.224131; 0.14059829400000004; 1; 1.0964404050000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.104747680999999; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.054981732969077268; 0; 9.8779537894485561; 0.41311553653250688; 1.1873000000000001e-05; 0.09454345932373634; 0; 20.132328463558864; 6.1511402569418019; 6.0269389999999996; 0.054981732969077268; 0; 9.8779537894485561; 0.41311553653250688; 0.180336; 0.13441021200000025; 1; 6.3416970849999998; 
