Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T12:58:07.844249
Goal name tabletop.tabletop_07
10 seconds per run
4750.85 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
560 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.092095788; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.088646238037784181; 0; 8.8040729912076419; 0.12979697983354352; 4.5956000000000005e-05; 0.089601127608191403; 0; 16.3995392771672; 4.6810595345195249; 9.9027809999999992; 0.084527058685198428; 0; 8.8040729912076401; 0.1817157717669583; 0.104531; 0.12867345000000158; 1; 10.136031406000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.100877430000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.079719594930065793; 0; 9.0442788644064152; 0.1486293771742474; 6.8235e-05; 0.089718486254031837; 0; 12.268899615528104; 3.3037965012454396; 0.66899900000000001; 0.064993227524682881; 0; 9.0442788644064152; 0.22222082090130521; 0.094593999999999998; 0.14240475700000002; 1; 0.90606599200000004; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.107585884000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10552733515699704; 0; 8.5098932009532628; 0.13140625178263227; 6.1251e-05; 0.075424496570359101; 0; 17.205383043240936; 5.4161363866764427; 1.0761259999999999; 0.093792304545640942; 0; 8.5098932009532664; 0.20499375278090784; 0.10951; 0.12483518300000006; 1; 1.310532434; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.109118487; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.069584027797515907; 0; 9.8802166387366963; 0.28554032429015458; 0.000131581; 0.086800852790474892; 0; 15.863531837317375; 3.9428240185764776; 5.4887540000000001; 0.091756290942430499; 0; 9.8802166387366945; 3.3171297128193635; 0.057173000000000002; 0.12942144799999991; 1; 5.675480029; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.109466923999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.106825527; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.06427842599092698; 0; 9.3970117665620929; 0.11862990721171977; 9.4290000000000007e-06; 0.10908038304610686; 0; 23.040013524067803; 6.5036817012878512; 7.9057740000000001; 0.06427842599092698; 0; 9.3970117665620929; 0.11862990721171977; 0.21576699999999999; 0.15019446100000072; 1; 8.2717448900000008; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.105484014; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0; 10.106974219; 
