Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T14:17:18.850317
Goal name tabletop.tabletop_08
10 seconds per run
445.163 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
640 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10423853840021526; 0; 7.6333847464537889; 3.7355739272493976e-15; 0.000119778; 0.092284716665744781; 0; 10.409299767878068; 4.1220290634143266; 0.55324700000000004; 0.11659068241715431; 0; 7.6333847464537872; 0; 0.0060879999999999997; 0.12109279499999998; 1; 0.68054757300000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10120841466328677; 0; 7.4447119002590334; 1.3061447348531254e-16; 0.00011782300000000001; 0.08709543533623218; 0; 13.557624117168212; 4.2592154305575125; 0.71624100000000002; 0.11082272231578827; 0; 7.4447119002590325; 0; 0.0060179999999999999; 0.13074905500000006; 1; 0.85312587800000006; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.088409312774200693; 0; 7.3389552503813462; 1.9203857875307981e-16; 0.00012173400000000001; 0.10780901050097064; 0; 19.09718000219334; 5.8434537313647867; 0.227465; 0.091645857319235802; 0; 7.3389552503813453; 0; 0.007731; 0.10944105000000004; 1; 0.34475878400000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10090507588842336; 0; 7.4555347559244511; 5.2245789394125013e-17; 0.00012061600000000001; 0.094683032482862473; 0; 9.9470013771282613; 4.2283070917844086; 0.31446000000000002; 0.11024441942572594; 0; 7.4555347559244511; 0; 0.0060299999999999998; 0.10818392300000002; 1; 0.42879453900000003; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10743659668985535; 0; 7.9677896223382421; 9.9266999629956454e-16; 0.00011307300000000001; 0.11121694571696795; 0; 12.526287723671954; 4.2178396237972704; 0.52258899999999997; 0.12447234615683556; 0; 7.9677896223382412; 0; 0.0074599999999999996; 0.11062486300000006; 1; 0.64078693600000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10327978300697663; 0; 7.5730719863934457; 2.011462891673813e-15; 0.00011314300000000001; 0.08374719531275332; 0; 11.114192327002101; 2.9970685742536931; 0.334339; 0.11481935903429985; 0; 7.5730719863934448; 0; 0.006071; 0.11466358200000003; 1; 0.45518672500000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10362112960394691; 0; 7.5370657282593392; 7.8368684091187526e-17; 0.000113911; 0.10857233963906765; 0; 10.788481723932712; 6.2182752402433108; 0.29779099999999997; 0.11509087681770325; 0; 7.5370657282593383; 0; 0.0060429999999999998; 0.11527341500000005; 1; 0.41922132600000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.0963464223912784; 0; 7.381197419091631; 7.6129578831439306e-17; 0.00011705400000000001; 0.08402198925614357; 0; 14.154453444781234; 7.8312033771769771; 0.51522699999999999; 0.10272553563117981; 0; 7.3811974190916283; 0; 0.0068970000000000004; 0.13475911500000004; 1; 0.65700016900000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10359426018069773; 0; 7.5619491802796146; 1.776356827003102e-15; 0.000113072; 0.07346306720541583; 0; 12.764198372217921; 7.3146882843839638; 0.35961100000000001; 0.11520947143435478; 0; 7.5619491802796137; 0; 0.0060740000000000004; 0.12233914400000002; 1; 0.48813721600000004; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10716023164636948; 0; 7.873747194441699; 9.1430130819861349e-16; 0.000112794; 0.086539339020170955; 0; 16.289421274727513; 5.4535263287335427; 0.565025; 0.12303720787167549; 0; 7.8737471944417017; 0; 0.0069670000000000001; 0.12751405800000007; 1; 0.69961885200000007; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.1069502979516983; 0; 7.9083458491877447; 7.8368684091187526e-17; 0.00011216500000000001; 0.085915185839814293; 0; 16.456812939830005; 4.996175886094484; 0.63812599999999997; 0.12317400425672531; 0; 7.908345849187743; 0; 0.0069109999999999996; 0.12922933500000011; 1; 0.77437850000000008; 
