Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T11:51:10.502638
Goal name tabletop.tabletop_04
10 seconds per run
209.689 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
320 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.095442646079593241; 0; 7.0225826582121718; 4.3175339822015134e-15; 0.00012424800000000001; 0.076375231654806572; 0; 16.403554496389184; 5.9163400618375581; 0.65731200000000001; 0.10224353522062302; 0; 7.0225826582121709; 0; 0.0081349999999999999; 0.12453166900000001; 1; 0.79010291700000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.11328228475416408; 0; 7.9652876778623778; 5.2245789394125013e-17; 0.00011021; 0.096671366516281582; 0; 12.041108822424041; 3.6870888937072661; 0.45616000000000001; 0.13682904094457626; 0; 7.9652876778623778; 0; 0.0077419999999999998; 0.11971809600000008; 1; 0.58373030600000009; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10359957200639389; 0; 7.1156829150330889; 1.5673736818237505e-16; 0.00011272400000000001; 0.099764486508710046; 0; 12.986934524037315; 4.7440194099056923; 0.51767600000000003; 0.11574997007846832; 0; 7.1156829150330916; 0; 0.0068780000000000004; 0.11966702900000005; 1; 0.64433375300000006; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.07976563652291109; 0; 7.3014458734925451; 1.0751633502322518e-15; 0.00012690100000000001; 0.090105128976014942; 0; 12.33931660074319; 3.959786882284615; 0.231213; 0.081037644296884537; 0; 7.301445873492546; 0; 0.0077200000000000003; 0.12347174500000004; 1; 0.36253164600000004; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.09280834926499261; 0; 7.0077736180852259; 4.1448326264393953e-15; 0.000120266; 0.08462405605958058; 0; 13.019961224578475; 5.7576763824356902; 0.20424900000000001; 0.098573971539735794; 0; 7.0077736180852268; 0; 0.0077159999999999998; 0.11237170500000003; 1; 0.32445697100000004; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10507352277636528; 0; 7.1371053853775912; 5.2245789394125013e-17; 0.00011293300000000001; 0.086120275573598012; 0; 13.400618404923829; 5.664019296803791; 0.29492699999999999; 0.11776015534996986; 0; 7.1371053853775903; 0; 0.0069090000000000002; 0.11768871900000004; 1; 0.41963765200000003; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10447702819810194; 0; 7.1537074432697061; 3.9184341988035158e-15; 0.00011314300000000001; 0.087305966764688492; 0; 11.61261814693763; 3.9014403026392799; 0.24348900000000001; 0.1170373372733593; 0; 7.1537074432697034; 0; 0.0069379999999999997; 0.120034079; 1; 0.37057422200000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10953735876263994; 0; 7.4544014375891727; 8.0743492700011387e-17; 0.00010986000000000001; 0.10021118726581335; 0; 11.540452508114079; 4.9310127390130569; 0.21617500000000001; 0.12603668496012688; 0; 7.4544014375891701; 0; 0.0062230000000000002; 0.12039650100000003; 1; 0.34290436100000005; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10811613003412883; 0; 7.2615965354658085; 2.153159805333637e-16; 0.000109511; 0.10842150414273852; 0; 15.008110976780371; 4.3011729953498579; 0.441828; 0.12257720530033112; 0; 7.2615965354658085; 0; 0.0060990000000000003; 0.11643876300000008; 1; 0.56447527400000008; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10648148303682153; 0; 7.218111749859208; 2.6914497566670462e-17; 0.000110209; 0.093748930593331656; 0; 10.759520696848487; 6.2696805988083906; 0.32747399999999999; 0.12004880607128143; 0; 7.2181117498592062; 0; 0.0060850000000000001; 0.13340478400000003; 1; 0.46707399300000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.11311253576594241; 0; 7.9205973234595177; 1.828602616397227e-15; 0.00011453900000000001; 0.11807262301445007; 0; 14.80825958577474; 3.1390127389212124; 0.280947; 0.13602205365896225; 0; 7.9205973234595177; 0; 0.0071380000000000002; 0.127843031; 1; 0.41604257; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10923518398494432; 0; 7.3696170141672193; 1.9109293306351373e-15; 0.00010965100000000001; 0.11385056782852519; 0; 10.127551052653342; 4.0622524261665269; 0.57522600000000002; 0.12479477375745773; 0; 7.3696170141672201; 0; 0.006097; 0.11909596000000006; 1; 0.70052861100000008; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.11221912548397527; 0; 7.7601128022331469; 1.076579904061922e-15; 0.000109302; 0.079027704894542694; 0; 12.141873439865659; 4.9990268089822081; 0.40354699999999999; 0.13279825448989868; 0; 7.7601128022331469; 0; 0.0069969999999999997; 0.12515352100000005; 1; 0.53580682300000004; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.092169822873295962; 0; 7.0337336133851611; 1.9203857875307981e-16; 0.00012396800000000002; 0.064933363786515069; 0; 12.173030693485606; 2.947553234135996; 0.54368899999999998; 0.097743270918726921; 0; 7.0337336133851611; 0; 0.0077949999999999998; 0.11671256700000002; 1; 0.66832053499999999; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10388024808729396; 0; 7.1122108002834947; 1.9330942075826253e-15; 0.00011363200000000001; 0.086357122597595051; 0; 10.693073673884991; 5.1266493518808725; 0.32888699999999998; 0.11609330028295517; 0; 7.112210800283493; 0; 0.006953; 0.12000253400000006; 1; 0.45595616600000005; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10305808440727346; 0; 7.083088345304688; 1.3061447348531254e-16; 0.00012103500000000001; 0.081829105503857136; 0; 14.517625697925357; 5.1828500297267519; 0.25401499999999999; 0.11457435041666031; 0; 7.0830883453046871; 0; 0.0069560000000000004; 0.11948177800000004; 1; 0.38057381300000004; 
