Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T04:40:35.514705
Goal name tabletop.tabletop_08
60 seconds per run
87.6583 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
128 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.1055777630571163; 0; 7.7588242637232661; 8.0743492700011387e-17; 0.00010825400000000001; 0.091152665929661855; 0; 12.836647857694903; 3.4399173787694672; 0.67552900000000005; 0.11964491754770279; 0; 7.7588242637232643; 0; 0.0061749999999999999; 0.17057190799999997; 1; 0.852384162; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.097497260144778664; 0; 7.406007153641581; 1.5225915766287861e-16; 0.000115099; 0.090066431835293767; 0; 14.856699870396053; 6.9281853975369598; 0.30263299999999999; 0.10441156476736069; 0; 7.4060071536415828; 0; 0.0069909999999999998; 0.12666318500000004; 1; 0.43640228400000003; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10861062152045113; 0; 8.0882092988777199; 1.2688263138573217e-16; 0.00011069900000000001; 0.10540829785168171; 0; 13.24485276340609; 4.0967758061450397; 0.57334700000000005; 0.12758966162800789; 0; 8.0882092988777217; 0; 0.0071009999999999997; 0.11398052899999996; 1; 0.69453922800000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10616469676747467; 0; 7.8019928367072033; 3.4988846836671599e-16; 0.00010448300000000001; 0.088268378201652981; 0; 16.805080928946598; 6.2887947019315922; 0.49941099999999999; 0.12091999500989914; 0; 7.8019928367072051; 0; 0.0069360000000000003; 0.11299167200000003; 1; 0.61944315500000002; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10653732651296784; 0; 7.8748975958958942; 7.8368684091187526e-17; 0.00010965000000000001; 0.080991842712347328; 0; 12.671763136220916; 3.6446384191080865; 0.28007100000000001; 0.12223523110151291; 0; 7.8748975958958933; 0; 0.0069329999999999999; 0.108190671; 1; 0.39530432100000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10321889861541636; 0; 7.5428136807947013; 7.8368684091187526e-17; 0.00010818400000000001; 0.10374738979670736; 0; 13.468400221081453; 4.5258257713634924; 0.35520699999999999; 0.11449970304965973; 0; 7.5428136807947048; 0; 0.0060930000000000003; 0.10839233800000006; 1; 0.46980052200000005; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10183626172297142; 0; 7.4809573069917921; 1.0449157878825003e-16; 0.000110209; 0.11094246059656143; 0; 10.908083576233231; 4.2227428438334877; 0.40853899999999999; 0.11225086823105812; 0; 7.4809573069917912; 0; 0.0060639999999999999; 0.10672781900000004; 1; 0.52144102800000003; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10024494436733863; 0; 7.4622011880849044; 1.0710386845269812e-15; 0.00010958100000000001; 0.079620106243773511; 0; 13.40991920521037; 4.0270798874245139; 0.423711; 0.10908840969204903; 0; 7.4622011880849053; 0; 0.0060899999999999999; 0.12217268599999999; 1; 0.55208326699999999; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.1026557317989714; 0; 7.5273398795202526; 1.1232844653908707e-15; 0.00011007000000000001; 0.10344579443335533; 0; 11.11969142147354; 3.5165016546188235; 0.36411700000000002; 0.11381061375141144; 0; 7.5273398795202535; 0; 0.0060819999999999997; 0.12443107800000001; 1; 0.49474014800000005; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.097750292718410486; 0; 7.4044887378795075; 1.0404375709682672e-15; 0.000118312; 0.093416282613026466; 0; 14.097325033970275; 4.6174737741638143; 0.46829399999999999; 0.10475954413414001; 0; 7.4044887378795083; 0; 0.0069499999999999996; 0.11182758400000006; 1; 0.58718989600000004; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10530320577549213; 0; 7.6701276850282403; 8.0743492700011387e-17; 0.00010518100000000001; 0.093417466680208838; 0; 13.910100107138952; 4.9658702732264581; 0.35876200000000003; 0.11852638423442841; 0; 7.6701276850282385; 0; 0.0060980000000000001; 0.12707937699999999; 1; 0.49204455800000002; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10307663416161257; 0; 7.5783250195597338; 1.8286026315025174e-15; 0.00010979; 0.097760987933725119; 0; 14.941976991512899; 5.8413347962266249; 0.53497099999999997; 0.11463181674480438; 0; 7.5783250195597347; 0; 0.0060689999999999997; 0.13791959400000009; 1; 0.67906938400000005; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10169771510888548; 0; 7.5055877417256101; 1.0449157878825003e-16; 0.00010874300000000001; 0.077384495486815766; 0; 15.093065658232391; 6.7290968337691304; 0.45501999999999998; 0.11221981793642044; 0; 7.5055877417256109; 0; 0.0061999999999999998; 0.11601632700000004; 1; 0.57734507000000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10760179994737401; 0; 7.9351879113610062; 2.0898315757650005e-16; 0.00010608900000000001; 0.1066787987947464; 0; 13.985536872539637; 6.0997893710302176; 1.244364; 0.12441787123680115; 0; 7.9351879113610053; 0; 0.0069230000000000003; 0.114456506; 1; 1.365849595; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10787889169795173; 0; 8.1032201241668034; 7.6129578831439306e-17; 0.00011195500000000001; 0.094134423349584856; 0; 12.865607137118435; 5.9742815077603808; 0.58904699999999999; 0.12648379802703857; 0; 8.1032201241668034; 0; 0.0069610000000000002; 0.12355801300000008; 1; 0.71967796800000006; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.089374799382042236; 0; 7.3626261366362566; 1.8963809380687088e-15; 0.00011866100000000001; 0.078760008287170655; 0; 16.867956950573035; 4.6062546555276871; 0.53024499999999997; 0.092995224520564079; 0; 7.3626261366362566; 0; 0.0077739999999999997; 0.11955379500000003; 1; 0.65769145600000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.091088169430558752; 0; 7.3484833595985704; 9.601928861622976e-17; 0.00012033600000000001; 0.081944876497513364; 0; 14.302544954724064; 5.5235434832782246; 0.42090899999999998; 0.095011191442608833; 0; 7.3484833595985704; 0; 0.007803; 0.111999079; 1; 0.54083141499999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10588602541070996; 0; 7.777402994159468; 9.6892191379524001e-16; 0.00010525100000000001; 0.069077317913373307; 0; 16.246139920207444; 5.8081400978648077; 0.60506099999999996; 0.12014289200305939; 0; 7.7774029941594671; 0; 0.0061050000000000002; 0.10964640100000006; 1; 0.72091765200000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10665874095524058; 0; 7.8552838548397048; 2.7690268400934206e-15; 0.000109931; 0.088477106934243988; 0; 10.205485987076287; 3.9995606971349988; 0.41231400000000001; 0.12233769148588181; 0; 7.8552838548397013; 0; 0.0069199999999999999; 0.10672093900000001; 1; 0.52606487000000002; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10696706307284973; 0; 7.865253675171882; 1.8547255110942894e-15; 0.00010909200000000001; 0.09502183025081952; 0; 11.490820851733538; 4.0501732629284435; 0.26209500000000002; 0.122577004134655; 0; 7.865253675171882; 0; 0.006973; 0.12254793099999997; 1; 0.39172502300000001; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.1069333310074666; 0; 7.8534993024135433; 1.8024797217001646e-15; 0.00010804400000000001; 0.10115749331621024; 0; 12.087716413769172; 3.9699904131007959; 0.61213300000000004; 0.12233633548021317; 0; 7.8534993024135415; 0; 0.0069119999999999997; 0.11365976799999999; 1; 0.73281281200000004; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10837624754224505; 0; 8.1060429027931296; 2.0301221021717148e-16; 0.00011265400000000001; 0.083371803164482117; 0; 10.617198096157781; 2.5317595314645867; 0.47329900000000003; 0.12745446339249611; 0; 8.1060429027931296; 0; 0.0069509999999999997; 0.11723589100000006; 1; 0.59759854500000009; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10549971709648769; 0; 7.709779256111327; 0; 0.000106019; 0.108983490202162; 0; 8.220466884832458; 0.77826130978569397; 0.26371699999999998; 0.11898618191480637; 0; 7.7097792561113279; 0; 0.0060679999999999996; 0.11622009200000002; 1; 0.38611111100000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.092470703543060362; 0; 7.3521539721672626; 9.8686490640430527e-16; 0.00011286300000000001; 0.10113606335861343; 0; 15.139309115445922; 5.9516493374297763; 0.97182599999999997; 0.096966182813048363; 0; 7.3521539721672617; 0; 0.0069319999999999998; 0.12284444400000012; 1; 1.1017153070000001; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10275816851679016; 0; 7.5616838611626447; 7.8368684091187526e-17; 0.00010979; 0.082975465390417308; 0; 12.536881061228076; 5.4579185270142023; 0.51590499999999995; 0.11410488560795784; 0; 7.5616838611626456; 0; 0.0061019999999999998; 0.11044563400000013; 1; 0.63256242400000007; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10325722746989306; 0; 7.5527662893336416; 7.8368684091187526e-17; 0.00011048900000000001; 0.089170958432886333; 0; 13.136756612014659; 5.0796439121741939; 0.36250500000000002; 0.11469390243291855; 0; 7.5527662893336407; 0; 0.006136; 0.11658676400000002; 1; 0.48533825300000005; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.081039863375899121; 0; 7.6854501769829433; 4.099285046459972e-16; 0.00012292; 0.095810345159127161; 0; 12.812690284824669; 4.112426885906566; 0.91481800000000002; 0.081766990944743156; 0; 7.6854501769829451; 0; 0.007737; 0.11593167200000001; 1; 1.038609592; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10231814774520256; 0; 7.5052533885314556; 2.847395516240786e-15; 0.00010937200000000001; 0.089987732004374266; 0; 15.513006781164318; 6.1065201304820285; 0.74363599999999996; 0.11320457607507706; 0; 7.5052533885314547; 0; 0.0061079999999999997; 0.11462513400000013; 1; 0.86447850600000009; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.087218699725093066; 0; 7.3576434092982606; 1.1042218130338887e-15; 0.00011942900000000001; 0.090012611697117481; 0; 14.781436518181035; 4.2442856488618066; 0.34179199999999998; 0.090418793261051178; 0; 7.3576434092982632; 0; 0.007835; 0.11195767600000005; 1; 0.46170410500000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10431884003408028; 0; 7.5896004831875548; 1.0227509011470678e-15; 0.00010532; 0.069295276784234583; 0; 12.918912740933441; 4.9798729692359309; 0.36305599999999999; 0.11630579456686974; 0; 7.5896004831875548; 0; 0.0061069999999999996; 0.10782999200000003; 1; 0.47709831200000002; 
