Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T05:47:22.515931
Goal name tabletop.tabletop_10
60 seconds per run
107.257 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
160 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.085850327099497248; 0; 7.4225308609041738; 3.8407715369511063e-15; 0.00012445700000000002; 0.1010293469298631; 0; 11.191385805670784; 5.7265769102698636; 0.56599299999999997; 0.087822247296571732; 0; 7.4225308609041756; 0; 0.0078609999999999999; 0.14657881200000009; 1; 0.72055726900000006; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.0930303051003388; 0; 7.4244882306559923; 1.2688263138573217e-16; 0.00011405100000000001; 0.081070418159166976; 0; 11.0067416150412; 3.551515979720524; 0.29072900000000002; 0.096943743526935577; 0; 7.4244882306559914; 0; 0.0069810000000000002; 0.12062448199999999; 1; 0.41844853300000001; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10145946817867683; 0; 7.6337217346391464; 1.0765799026668185e-16; 0.00010594900000000001; 0.086769982861975833; 0; 11.229538234366382; 4.787426476810511; 0.717808; 0.11142204701900482; 0; 7.6337217346391437; 0; 0.0060470000000000003; 0.12760216100000007; 1; 0.85156311000000007; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10446936089326353; 0; 7.994214312590211; 7.8368684091187526e-17; 0.00010895300000000001; 0.10579608667355317; 0; 12.019084037231723; 4.6895700527461059; 0.61660499999999996; 0.1196773536503315; 0; 7.9942143125902101; 0; 0.0069100000000000003; 0.11454666100000011; 1; 0.73817061400000006; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10396792082225575; 0; 7.929996978147317; 1.8286026287943754e-16; 0.00010979100000000001; 0.1109077874571085; 0; 11.141005730513395; 4.747371085124767; 0.54385300000000003; 0.11851180344820023; 0; 7.9299969781473196; 0; 0.006927; 0.11365469999999998; 1; 0.66454449100000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10292748045740706; 0; 7.7250055022496111; 5.3828995133340925e-17; 0.00010483100000000001; 0.10338422304226293; 0; 12.905461727812618; 3.8838291738067707; 0.51038099999999997; 0.11481042206287384; 0; 7.7250055022496076; 0; 0.0061419999999999999; 0.1116132350000001; 1; 0.62824106600000007; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10387501799884964; 0; 7.9180738104453052; 3.3959763106181257e-16; 0.000110209; 0.10445068336345932; 0; 10.395671043843135; 4.6814211154367067; 0.20042599999999999; 0.11788763850927353; 0; 7.9180738104453035; 0; 0.0069890000000000004; 0.12768801900000004; 1; 0.33521322800000003; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.079637671477700539; 0; 7.562092051043372; 4.6746232615796062e-17; 0.00012236200000000002; 0.079592318219297076; 0; 11.902560096418153; 3.9726913842161329; 0.60126999999999997; 0.081160768866539001; 0; 7.5620920510433729; 0; 0.0078469999999999998; 0.12014808000000009; 1; 0.72938744200000005; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10449931639082291; 0; 8.0497719013119031; 1.0449157878825003e-16; 0.000108114; 0.086229990187444192; 0; 14.179782041481229; 6.6361263991138673; 0.40120800000000001; 0.12049071863293648; 0; 8.0497719013119031; 0; 0.0069810000000000002; 0.11749146499999996; 1; 0.52578857899999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10239635565967271; 0; 7.7268300789186863; 1.0496653987137382e-15; 0.00010469200000000001; 0.090298404588418854; 0; 12.34957453296059; 5.5936253621979288; 0.49986900000000001; 0.11399143934249878; 0; 7.7268300789186863; 0; 0.0061089999999999998; 0.12704062500000002; 1; 0.63312331700000002; 
