Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T04:42:03.232724
Goal name tabletop.tabletop_09
60 seconds per run
3919.22 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
144 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10575075708734601; 0; 10.200172918191141; 0.25245088771301893; 7.7663000000000005e-05; 0.086014282113562032; 0; 18.661240811041235; 5.3266687024408483; 31.817672999999999; 0.08895729903131723; 0; 10.200172918191141; 0.46450963339195506; 0.113759; 0.14405993300000192; 1; 32.075569596000001; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.070057632062040895; 0; 10.049873029563349; 0.096695826185419942; 8.5694999999999999e-05; 0.095263490364665082; 0; 16.004082917302803; 4.1331528427472701; 15.582352999999999; 0.054743995610624555; 0; 10.049873029563347; 0.18763370830843398; 0.15696399999999999; 0.15958509300000001; 1; 15.898987787999999; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.078408655343633712; 0; 14.985512459093957; 0.0715729212305799; 0.00010099100000000001; 0.088098171725869173; 0; 31.309319179993441; 6.5502764937561846; 26.509288000000002; 0.078351262525269166; 0; 14.985512459093957; 0.11878283015072329; 0.23531299999999999; 0.15764858299999823; 1; 26.902350574; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.04725184549032798; 0; 8.9125391688775686; 0.09869664115072041; 1.1384000000000001e-05; 0.088287887433844234; 0; 33.179310337448108; 7.7686869473771649; 20.819931; 0.04725184549032798; 0; 8.9125391688775686; 0.09869664115072041; 0.244591; 0.16987819999999965; 1; 21.234411584; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.068445671000517905; 0; 12.913494297556605; 0.085595628813289054; 3.2965e-05; 0.094592369316766664; 0; 24.483104446941194; 5.6521644487288114; 26.916167999999999; 0.064731098735999124; 0; 12.913494297556605; 0.090100661908724941; 0.28957100000000002; 0.15681031000000217; 1; 27.362582275000001; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.05356974219658265; 0; 9.0419615771887898; 0.090585138633826667; 1.8577000000000002e-05; 0.10195403710007668; 0; 19.500777653574598; 6.0394178546185477; 21.994330999999999; 0.051893635841740948; 0; 9.0419615771887898; 0.093033385623930126; 0.19129599999999999; 0.15465139700000208; 1; 22.340296974000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.053099053156738345; 0; 8.2799673700612946; 0.11500439746695731; 5.3778000000000006e-05; 0.094773396477103228; 0; 15.708582853030796; 5.857512953379687; 18.634803000000002; 0.041524796038866045; 0; 8.2799673700612928; 0.16581942177014036; 0.090158000000000002; 0.15465540400000011; 1; 18.879670182000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.069296456199010897; 0; 12.340430352781983; 0.22569730898946014; 4.7912000000000005e-05; 0.091634744718190164; 0; 24.085804618967114; 5.8617183078402935; 16.316275000000001; 0.060747539320466469; 0; 12.340430352781983; 0.26712294447537444; 0.30876799999999999; 0.16094612499999886; 1; 16.786037037; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.043421541074814142; 0; 11.888161869722124; 0.052659903476378479; 2.4445000000000001e-05; 0.09408880501157707; 0; 27.287700259459658; 6.0044564293318636; 25.837845999999999; 0.043421541074814142; 0; 11.888161869722124; 0.052659903476378479; 0.28410200000000002; 0.18735313500000042; 1; 26.309325579999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.081000261311960781; 0; 9.6690142255232345; 0.067759869217787025; 7.941e-05; 0.087409346787766976; 0; 16.325999823695234; 3.9791882281985944; 3.4198279999999999; 0.073570251390337946; 0; 9.6690142255232399; 0.11692750910373464; 0.118548; 0.15038756199999992; 1; 3.6888429719999998; 
