Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T03:40:14.011190
Goal name tabletop.tabletop_04
60 seconds per run
42.5533 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
64 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.10665402990398985; 0; 7.1985740592408423; 0; 0.00010804500000000001; 0.073480325233605176; 0; 13.104083130048549; 6.0246719068308066; 0.73387000000000002; 0.120060995221138; 0; 7.1985740592408396; 0; 0.0061180000000000002; 0.13873945200000004; 1; 0.87883549700000008; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.099303013086318975; 0; 7.0642459146454799; 5.0753052554292869e-17; 0.00011384200000000001; 0.063100478549798333; 0; 10.313692718995057; 3.4026015771016849; 0.42041600000000001; 0.10822825878858566; 0; 7.0642459146454781; 0; 0.0069369999999999996; 0.11060458000000001; 1; 0.53807142200000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10161686007465635; 0; 7.0673524363338096; 1.1419436779730175e-15; 0.00011356100000000001; 0.086413490944183796; 0; 11.491897573289084; 4.9065358427773749; 0.24838399999999999; 0.11191176995635033; 0; 7.0673524363338123; 0; 0.0069280000000000001; 0.11729082800000004; 1; 0.37271638900000004; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10615167438107379; 0; 7.1854312657132429; 2.0637086679023041e-15; 0.000107835; 0.082176977911820784; 0; 12.77061607105404; 5.5661151301419105; 0.54713000000000001; 0.11935184150934219; 0; 7.1854312657132446; 0; 0.0060499999999999998; 0.11849759599999998; 1; 0.67178543099999999; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.10816470488454356; 0; 7.3391495665330178; 1.0765799026668185e-16; 0.00010553; 0.10258757565170526; 0; 20.317927158701117; 5.6303679117254308; 0.47417799999999999; 0.12313969433307648; 0; 7.3391495665330142; 0; 0.0060619999999999997; 0.11399423100000008; 1; 0.59433976100000008; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.11263358367211891; 0; 7.7899058257443086; 1.8840148324571392e-15; 0.00010713600000000001; 0.10608528647571802; 0; 11.157109230497793; 5.2661538169479796; 0.29930800000000002; 0.13374008238315582; 0; 7.7899058257443103; 0; 0.0070790000000000002; 0.12811154800000002; 1; 0.43460568400000005; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.10906274390943123; 0; 7.3825787607594293; 1.0227509089285811e-15; 0.00010420300000000001; 0.11269853738221255; 0; 10.255507611348637; 3.3849911152574523; 0.52018399999999998; 0.12456881999969482; 0; 7.3825787607594293; 0; 0.006051; 0.11388746100000008; 1; 0.64022666400000006; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.10412002289119889; 0; 7.1432787254696946; 7.8368684091187526e-17; 0.00010636800000000001; 0.09874550669508822; 0; 12.57025519678578; 6.1205924845041535; 0.60839299999999996; 0.11656327918171883; 0; 7.1432787254696928; 0; 0.0069230000000000003; 0.1092958370000001; 1; 0.72471820500000006; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.11326577908852521; 0; 7.9649965904837288; 9.1430131575125871e-16; 0.00010797500000000001; 0.099345289609011483; 0; 12.442352327733808; 3.6184629013438441; 0.585233; 0.13680502772331238; 0; 7.9649965904837261; 0; 0.0077460000000000003; 0.11572055500000007; 1; 0.70880753000000007; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10392375882057582; 0; 7.1154877881015874; 2.089831573081536e-15; 0.00010853300000000001; 0.10129981233101142; 0; 13.954412788718823; 3.667839127771618; 0.33065699999999998; 0.1161889061331749; 0; 7.1154877881015874; 0; 0.0069509999999999997; 0.13426059800000006; 1; 0.47197713100000005; 
