Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T04:09:27.520936
Goal name tabletop.tabletop_07
60 seconds per run
1867.97 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
112 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.061491302041127821; 0; 10.187707326578572; 0.077241081443135018; 1.2223000000000001e-05; 0.10306633827941758; 0; 27.203683125244414; 6.3434602239310784; 28.329201000000001; 0.061491302041127821; 0; 10.187707326578572; 0.077241081443135018; 0.190526; 0.13438886099999869; 1; 28.654128084; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.070700448680179037; 0; 9.3462935810147698; 0.18599254442326227; 6.8722999999999999e-05; 0.10325437110777085; 0; 18.967341951529153; 5.3158573128020157; 3.5712389999999998; 0.061272953324369155; 0; 9.3462935810147698; 0.31580595559252483; 0.105545; 0.16012640400000039; 1; 3.8369791270000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.094265188678706952; 0; 8.4450063744913457; 0.10489643319666224; 5.2521000000000001e-05; 0.093361926989422903; 0; 18.762834552620692; 6.0392499279889913; 24.094201000000002; 0.085759371891617781; 0; 8.4450063744913493; 0.15944257845892437; 0.105368; 0.12328295199999949; 1; 24.322904473000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.09440586935832268; 0; 8.5030999976647479; 0.11204027370373569; 7.3752000000000008e-05; 0.10560529479490859; 0; 28.599534487739117; 5.4751235251072163; 11.317458; 0.097051122006686294; 0; 8.5030999976647479; 0.23726175607849848; 0.12493700000000001; 0.14233557199999999; 1; 11.584804324; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.090356349493958987; 0; 10.50266121617028; 0.40791292780812377; 2.8704000000000002e-05; 0.1027181435545737; 0; 21.725348807048988; 4.7110926246029727; 7.5410159999999999; 0.088153812470328483; 0; 10.50266121617028; 0.43510712299533211; 0.22493199999999999; 0.14767858500000033; 1; 7.9136552890000003; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.083022698864568867; 0; 10.793846812152914; 0.13917796029104254; 6.376500000000001e-05; 0.081137791499495501; 0; 18.93473695801292; 5.2688211597775956; 6.4153859999999998; 0.061922200856673895; 0; 10.793846812152914; 0.20708249621562613; 0.117033; 0.15373354900000036; 1; 6.6862163140000002; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.072131842904692073; 0; 12.820910250832339; 0.27670718731375493; 0.00014666600000000002; 0.085652352918101388; 0; 23.304242034641995; 6.9285520330853725; 2.7871570000000001; 0.082179004684663742; 0; 12.820910250832339; 1.1178287475375375; 0.098204; 0.12435441600000005; 1; 3.0098620820000002; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.092268581444827413; 0; 7.7538456886958329; 0.05246491176226778; 1.6692000000000002e-05; 0.10636785166228518; 0; 12.696124739304736; 5.6241240527808918; 2.304541; 0.092268581444827413; 0; 7.7538456886958329; 0.05246491176226778; 0.215168; 0.15123358100000028; 1; 2.6709592730000002; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.072702489214063415; 0; 9.3422616350923615; 0.30790701655654895; 1.5225000000000001e-05; 0.106961498533686; 0; 23.212201371304563; 6.2263089554631543; 15.288183; 0.072702489214063415; 0; 9.3422616350923615; 0.30790701655654895; 0.21404999999999999; 0.13780767800000029; 1; 15.640055903; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.08241039632509152; 0; 9.829132655470854; 0.12119706870967319; 7.6825000000000011e-05; 0.077617822407648487; 0; 22.553957088425868; 6.2995464687954499; 9.2562920000000002; 0.06452033709734678; 0; 9.8291326554708505; 0.21652694508250761; 0.16453100000000001; 0.141653206; 1; 9.5625530310000002; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.077460773677254721; 0; 14.654736493902154; 0.1541426499001958; 0.00011048900000000001; 0.10387328226352111; 0; 32.624495926550082; 5.0938005300110509; 12.667673000000001; 0.081783960925767549; 0; 14.654736493902153; 0.27105215221267931; 0.198376; 0.1462964259999997; 1; 13.012455915; 
