Experiment industrial
Running on ros_monster
Starting at 2013-05-01T02:55:33.413393
Goal name industrial.top_bin_right_02
60 seconds per run
31.214 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
64 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.077997812341588244; 1; 4.5315974350272104; 6.2912638038337249e-16; 7.5080000000000006e-05; 0.060389114388575159; 1; 13.525995554193674; 6.3314848369291123; 5.828659; 0.078299011569470167; 1; 4.5315974350272104; 0; 0.0061339999999999997; 0.08969076399999984; 1; 5.9245588439999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.11124240529948268; 1; 5.8920876861566764; 3.3689526223590424e-16; 9.4565e-05; 0.072461798321455717; 1; 6.8126664922818732; 1.367724332896447; 0.091874999999999998; 0.11682724207639694; 1; 5.8920876861566764; 0; 0.0070109999999999999; 0.100541806; 1; 0.199522371; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.11146281017311688; 1; 5.8615222142398924; 4.90029472256382e-16; 9.4635000000000004e-05; 0.059569499455392361; 1; 8.7836240215041865; 4.500296288743745; 0.092433000000000001; 0.1169809065759182; 1; 5.8615222142398933; 0; 0.0070070000000000002; 0.098056345000000003; 1; 0.19759098; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.094032709988263935; 1; 5.0994800218607326; 9.5649984039350935e-16; 8.4648000000000007e-05; 0.072707211505621677; 1; 9.163016536262008; 3.8783412959379255; 0.304091; 0.096879707649350166; 1; 5.0994800218607335; 0; 0.0070280000000000004; 0.11024058800000001; 1; 0.42144423600000003; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.11146090873356523; 1; 5.8734548726125118; 6.7379052460813202e-16; 9.4565e-05; 0.077867651668687657; 1; 11.293055583077081; 6.437458336912667; 0.22841900000000001; 0.11696973070502281; 1; 5.8734548726125126; 0; 0.0069870000000000002; 0.088248566000000014; 1; 0.32374913100000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.11120833533591237; 1; 5.8799765742754468; 4.2877578841177925e-16; 9.3238000000000004e-05; 0.058931443374603987; 1; 11.371719209660846; 6.5779338682499029; 0.40861900000000001; 0.11678000539541245; 1; 5.879976574275446; 0; 0.0070089999999999996; 0.090334387000000002; 1; 0.50605562500000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.11168114404226172; 1; 5.870168719467074; 6.4316368291861112e-16; 9.4426000000000007e-05; 0.062217224921498983; 1; 12.543267315977211; 5.2253413381302583; 0.112997; 0.11714208126068115; 1; 5.8701687194670757; 0; 0.0070080000000000003; 0.092452534000000017; 1; 0.21255196000000001; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.11136034002591824; 1; 5.8740914523074776; 3.6752210443085285e-16; 9.4076000000000012e-05; 0.062716516737754524; 1; 8.3662128325351652; 4.4026370271598081; 0.183395; 0.11691365018486977; 1; 5.8740914523074785; 0; 0.0069979999999999999; 0.108624425; 1; 0.299111501; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.11128367175315988; 1; 5.8671522383371117; 3.062684205862501e-16; 9.4355e-05; 0.065309477193901941; 1; 8.1495730023177853; 3.0507745913328717; 0.132075; 0.11686062812805176; 1; 5.8671522383371109; 0; 0.0069839999999999998; 0.10367954900000001; 1; 0.24283290400000002; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.11150960495759701; 1; 5.8598242688487963; 6.7379052433548473e-16; 9.358700000000001e-05; 0.071185987287511424; 1; 7.3308122867453482; 1.9705039537583344; 0.233983; 0.11702289432287216; 1; 5.8598242688487954; 0; 0.0070759999999999998; 0.12876834100000004; 1; 0.36992092800000004; 
