Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T03:40:56.575924
Goal name tabletop.tabletop_05
60 seconds per run
1647.17 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
80 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.075406918012327989; 0; 9.8938931035158308; 0.19687570278959279; 1.0266000000000001e-05; 0.11161918410410483; 0; 18.343902376308542; 5.0256252784365794; 28.492650000000001; 0.075406918012327989; 0; 9.8938931035158308; 0.19687570278959279; 0.200124; 0.1304254429999992; 1; 28.823209709; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.065540649606017007; 0; 7.9372469821742735; 1.0279234358568414; 2.7308e-05; 0.090026469705136197; 0; 14.266792040235776; 4.5179496239117167; 3.2862589999999998; 0.065540649606017007; 0; 7.9372469821742735; 1.0279234358568414; 0.214671; 0.18191318800000023; 1; 3.682870496; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.068622063224514321; 0; 9.1972877835095463; 0.31867507554832669; 0.000120266; 0.1030394338692228; 0; 25.159759344848705; 6.4415436066178451; 8.6553439999999995; 0.079463104624301201; 0; 9.1972877835095446; 3.0493148042826652; 0.060385000000000001; 0.12329801799999969; 1; 8.8391472839999992; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.05316136336006539; 0; 14.957853844342722; 0.20065894645391852; 0.00019911700000000001; 0.079863961529115152; 0; 29.326082071394083; 6.5985928098755133; 18.869696000000001; 0.071548916931663237; 0; 14.957853844342715; 2.2428185748813982; 0.094964999999999994; 0.12841382799999884; 1; 19.093273945; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.081424742681768039; 0; 10.051697759479211; 0.22446165429882489; 7.3054000000000009e-05; 0.111577274898688; 0; 24.073839692502784; 6.1156301963270669; 26.272822999999999; 0.077297667374368759; 0; 10.051697759479211; 0.45066901275969079; 0.106017; 0.14602695500000268; 1; 26.524940009000002; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10058802841048614; 0; 11.129829058835547; 0.3654046019693768; 0.000146527; 0.085186218532423183; 0; 28.138392294531616; 6.9200872863216238; 29.465944; 0.096381568536162379; 0; 11.129829058835549; 4.099313695568366; 0.102476; 0.14165116199999989; 1; 29.710217689; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.081433197191240744; 0; 11.037208485217255; 0.090640851883480353; 7.4731e-05; 0.10315589979290962; 0; 18.986415268696302; 6.1639122486905267; 10.760846000000001; 0.081390354387236366; 0; 11.037208485217255; 0.13959126932636148; 0.10846799999999999; 0.16001389099999841; 1; 11.029402621999999; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.06604319968133826; 0; 11.389256155378327; 0.12250495840279531; 0.00010699700000000001; 0.087270865047519852; 0; 24.697265112766285; 5.3192010209270171; 36.345419; 0.055089712869375945; 0; 11.38925615537833; 0.32369389586888814; 0.13175400000000001; 0.14675662499999872; 1; 36.624036621999998; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.061112697434577125; 0; 12.173116486658888; 0.11800190948918515; 3.5828000000000003e-05; 0.091816368060452597; 0; 27.263452176495029; 5.5126897030410724; 43.779553999999997; 0.057320004167529394; 0; 12.173116486658888; 0.13703624994516769; 0.235761; 0.1736966070000017; 1; 44.189047434999999; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.075760752105084747; 0; 10.408645683270127; 0.051736868710921875; 8.1644000000000006e-05; 0.089449062186758965; 0; 24.377595063296727; 5.1927730820383662; 47.415725999999999; 0.072777868646662677; 0; 10.40864568327013; 0.094118086389137906; 0.12378599999999999; 0.17800375699999965; 1; 47.717597400999999; 
