Experiment tabletop
Running on ros_monster
Starting at 2013-05-01T04:08:23.768337
Goal name tabletop.tabletop_06
60 seconds per run
63.7263 seconds spent to collect the data
1 planners
OMPL_right_arm[TRRTkConfigDefault]
0 common properties
25 properties for each run
param_frontier_node_ratio REAL
param_frontier_threshold REAL
param_k_constant REAL
param_max_states_failed REAL
param_min_temperature REAL
param_range REAL
param_temp_change_factor REAL
path_interpolate_clearance REAL
path_interpolate_correct BOOLEAN
path_interpolate_length REAL
path_interpolate_smoothness REAL
path_interpolate_time REAL
path_plan_clearance REAL
path_plan_correct BOOLEAN
path_plan_length REAL
path_plan_smoothness REAL
path_plan_time REAL
path_simplify_clearance REAL
path_simplify_correct BOOLEAN
path_simplify_length REAL
path_simplify_smoothness REAL
path_simplify_time REAL
process_time REAL
solved BOOLEAN
total_time REAL
96 runs
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.092998671034971878; 0; 7.2201132309517471; 1.2335811384723962e-16; 0.00011866000000000001; 0.092860202798072028; 0; 12.501696304705305; 5.5992993974744243; 0.360873; 0.097140701487660408; 0; 7.220113230951748; 0; 0.0070689999999999998; 0.141613928; 1; 0.50967458799999998; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.079484875019835796; 0; 7.4887022329228206; 2.3373116492973526e-16; 0.000121384; 0.065934744663536549; 0; 13.617309811437297; 6.7382753545860634; 0.292188; 0.080333485268056393; 0; 7.4887022329228232; 0; 0.0077869999999999997; 0.12186600300000004; 1; 0.42196238700000005; 
0.10000000000000001; 0.107622; 0.000428155; 1000; 1.0000000000000001e-09; 0.5; 20; 0.10136448526207138; 0; 7.3546346131661613; 9.6654710573873119e-16; 0.00010867300000000001; 0.076518932028728379; 0; 16.395462627537281; 6.5697060699508754; 0.34547099999999997; 0.11092033609747887; 0; 7.3546346131661586; 0; 0.0060990000000000003; 0.10979054900000004; 1; 0.46146922200000001; 
0.050000000000000003; 0.107622; 0.001; 10; 9.9999999999999994e-12; 0.5; 20; 0.10684669379032019; 0; 7.7223068785424758; 5.3828995133340925e-17; 0.00010406300000000001; 0.10219436790794134; 0; 11.281277982371947; 4.0145534926076634; 0.47755199999999998; 0.12135222181677818; 0; 7.7223068785424767; 0; 0.006045; 0.12548450900000005; 1; 0.60918557200000001; 
0.050000000000000003; 0.20000000000000001; 0.000428155; 1000; 9.9999999999999994e-12; 0.5; 2; 0.1074128473798434; 0; 8.281850941210239; 8.6350679107646834e-16; 0.00011523800000000001; 0.10593843609094619; 0; 14.838143772388635; 5.4773421435723604; 0.52522500000000005; 0.12201253697276115; 0; 8.2818509412102372; 0; 0.0069430000000000004; 0.11865401000000002; 1; 0.65093724800000008; 
0.10000000000000001; 0.20000000000000001; 0.000428155; 10; 9.9999999999999994e-12; 0.37; 20; 0.10315668289408539; 0; 7.4112078312750631; 1.1842378865470904e-15; 0.00010573900000000001; 0.089114434578839469; 0; 12.827261514400925; 6.4498141617409361; 0.32905400000000001; 0.11377622187137604; 0; 7.4112078312750675; 0; 0.0061019999999999998; 0.111078328; 1; 0.44634006700000001; 
0.10000000000000001; 0.20000000000000001; 0.001; 10; 1.0000000000000001e-09; 0.5; 2; 0.09108676719996664; 0; 7.2180928461029268; 2.4671622769447922e-17; 0.00011942900000000001; 0.10952280554920435; 0; 17.959608033923779; 6.139838996027283; 0.347607; 0.094322796911001205; 0; 7.2180928461029259; 0; 0.0077929999999999996; 0.11498495700000005; 1; 0.47050438600000005; 
0.050000000000000003; 0.107622; 0.000428155; 10; 1.0000000000000001e-09; 0.37; 2; 0.082850961553815161; 0; 7.2865815664790272; 1.8698493194378823e-16; 0.00012152400000000001; 0.089936841377302221; 0; 13.556072962952486; 5.6039942419594215; 0.37827300000000003; 0.084575881250202656; 0; 7.2865815664790281; 0; 0.0077869999999999997; 0.11422554099999996; 1; 0.50040706499999998; 
0.10000000000000001; 0.107622; 0.001; 1000; 9.9999999999999994e-12; 0.37; 2; 0.081198749034420439; 0; 7.3754881290704253; 1.0517902290723939e-15; 0.00011900900000000001; 0.089447034228789177; 0; 14.225056258715796; 4.9145781991705615; 0.69820499999999996; 0.082833286374807358; 0; 7.3754881290704244; 0; 0.0077559999999999999; 0.12289684800000004; 1; 0.82897685700000001; 
0.050000000000000003; 0.20000000000000001; 0.001; 1000; 1.0000000000000001e-09; 0.37; 20; 0.10015026348478653; 0; 7.2751355773208486; 2.0898315757650005e-16; 0.000109721; 0.083862559541183365; 0; 12.410475581696611; 6.4418672884845751; 0.44674799999999998; 0.10817420855164528; 0; 7.2751355773208504; 0; 0.0069420000000000003; 0.12128905200000008; 1; 0.57508877300000005; 
